inventory_id,date,region,product,supplier,warehouse,inventory_level,reorder_point,demand_forecast,lead_time_days,supplier_delay_days,order_quantity,unit_cost,holding_cost,stockout_count,supplier_rating,risk_level,on_time_delivery_rate,inventory_value,days_of_supply,shortage_risk
INV-000012,2023-10-06,North,Component Y,Supplier-026,WH-Central,9310,1512,2562,7,26,2629,447.02,5.7,3,1.9,Low,0.92,4161756.2,109.0,0
INV-000013,2024-02-17,North,Finished Good 2,Supplier-010,WH-East,8213,564,2589,35,17,2191,382.03,4.3,0,1.2,Medium,0.93,3137612.39,95.2,0
INV-000014,2024-08-18,East,Packaging,Supplier-023,WH-South,9911,1393,4917,1,20,4685,255.79,3.13,13,3.4,Low,0.96,2535134.69,60.5,0
INV-000015,2022-03-24,West,Raw Material A,Supplier-040,WH-West,8217,1441,1479,14,13,3130,250.24,3.92,19,3.8,Medium,0.96,2056222.08,166.7,0
INV-000016,2024-11-04,West,Component X,Supplier-022,WH-South,6465,443,1819,59,3,1023,478.92,3.79,3,1.2,Low,0.81,3096217.8,106.6,0
INV-000017,2024-06-09,Central,Component Y,Supplier-018,WH-South,3093,932,1722,14,7,2939,385.23,2.16,0,2.6,Medium,0.97,1191516.39,53.9,0
INV-000018,2024-08-15,North,Component Y,Supplier-046,WH-West,8731,459,2285,42,26,2115,107.02,5.38,18,3.4,Low,0.83,934391.62,114.6,0
INV-000019,2022-02-23,South,Equipment,Supplier-026,WH-North,5774,803,2895,56,27,3313,165.31,9.8,10,4.6,High,0.98,954499.94,59.8,0
INV-000020,2022-04-01,West,Component X,Supplier-045,WH-North,8671,832,580,6,26,473,165.93,3.16,0,1.6,Low,0.9,1438779.03,448.5,0
INV-000021,2022-04-11,South,Equipment,Supplier-005,WH-West,1044,344,3034,19,16,1220,387.36,2.48,16,3.8,Low,0.94,404403.84,10.3,0
INV-000022,2022-01-06,West,Finished Good 2,Supplier-030,WH-West,1304,1202,150,51,8,3807,233.64,6.76,0,2.0,Low,0.97,304666.56,260.8,0
INV-000023,2023-06-20,Central,Component X,Supplier-027,WH-North,978,386,1997,9,24,3347,365.0,2.84,10,3.3,Medium,0.73,356970.0,14.7,0
INV-000024,2023-05-19,North,Packaging,Supplier-003,WH-South,3979,712,843,24,3,882,22.94,7.32,5,3.7,Low,0.82,91278.26,141.6,0
INV-000025,2024-02-13,South,Equipment,Supplier-002,WH-West,9289,1881,1876,38,17,2247,333.61,6.4,6,1.0,Low,0.98,3098903.29,148.5,0
INV-000026,2023-12-09,Central,Finished Good 1,Supplier-037,WH-North,813,1864,3298,11,6,893,158.19,9.26,11,1.6,Medium,0.85,128608.47,7.4,1
INV-000027,2023-12-01,South,Raw Material B,Supplier-022,WH-West,88,1746,1665,30,20,300,110.17,2.79,6,3.8,Low,0.93,9694.96,1.6,1
INV-000028,2022-07-01,North,Raw Material A,Supplier-023,WH-South,1786,972,3298,13,17,3761,332.29,8.64,7,1.8,Medium,0.98,593469.94,16.2,0
INV-000029,2024-01-11,Central,Component Y,Supplier-003,WH-North,527,1786,3364,30,11,2028,52.55,7.26,7,4.3,Low,0.93,27693.85,4.7,1
INV-000030,2024-11-22,North,Component Y,Supplier-019,WH-West,4844,1793,467,3,15,3903,332.42,4.69,19,3.9,Medium,0.79,1610242.48,311.2,0
INV-000031,2023-07-18,North,Finished Good 2,Supplier-006,WH-West,2622,1148,1504,37,28,4556,496.95,3.29,2,4.4,Low,0.88,1303002.9,52.3,0
INV-000032,2024-12-21,East,Component X,Supplier-032,WH-East,243,1231,3652,8,5,1897,458.74,2.79,2,3.9,Low,0.74,111473.82,2.0,1
INV-000033,2022-11-04,North,Raw Material A,Supplier-002,WH-East,1080,358,4664,59,23,1082,382.62,4.69,16,3.7,Medium,0.79,413229.6,6.9,0
INV-000034,2024-04-09,West,Equipment,Supplier-011,WH-South,5196,189,3784,58,21,215,170.19,3.76,12,4.4,Medium,0.73,884307.24,41.2,0
INV-000035,2024-02-13,West,Raw Material B,Supplier-026,WH-South,6845,1777,1140,31,22,4852,151.15,6.28,14,2.7,Low,0.9,1034621.75,180.1,0
INV-000036,2022-09-09,South,Raw Material A,Supplier-021,WH-West,3892,124,3124,16,24,2762,484.18,4.33,3,4.6,High,0.76,1884428.56,37.4,0
INV-000037,2023-04-28,North,Finished Good 2,Supplier-030,WH-North,8800,1933,2591,14,12,4857,50.39,2.68,11,4.9,Low,0.74,443432.0,101.9,0
INV-000038,2024-04-25,Central,Finished Good 1,Supplier-010,WH-South,8301,266,4966,21,2,4028,106.31,8.08,3,4.0,Medium,0.94,882479.31,50.1,0
INV-000039,2022-11-02,South,Component X,Supplier-044,WH-West,5731,180,530,16,24,3687,414.24,4.7,9,2.0,Critical,0.85,2374009.44,324.4,0
INV-000040,2023-07-06,East,Component X,Supplier-048,WH-West,6099,1147,629,21,9,4933,248.8,5.41,12,2.7,Medium,0.92,1517431.2,290.9,0
INV-000041,2024-11-13,North,Raw Material B,Supplier-012,WH-South,8983,561,90,34,19,1906,451.13,6.94,12,2.7,Low,0.84,4052500.79,2994.3,0
INV-000042,2023-04-12,South,Finished Good 1,Supplier-050,WH-North,9958,792,4608,1,26,860,186.22,2.69,14,3.1,High,0.81,1854378.76,64.8,0
INV-000043,2023-10-21,South,Finished Good 1,Supplier-024,WH-South,6346,478,4952,31,15,1354,153.55,3.76,5,3.7,Low,0.88,974428.3,38.4,0
INV-000044,2024-01-27,North,Component Y,Supplier-019,WH-South,9353,1726,3024,17,6,3468,296.78,2.58,0,1.0,Medium,0.97,2775783.34,92.8,0
INV-000045,2022-04-11,North,Raw Material A,Supplier-036,WH-West,4119,884,3134,34,2,220,343.39,6.65,6,1.8,High,0.92,1414423.41,39.4,0
INV-000046,2024-01-20,Central,Component X,Supplier-031,WH-South,1422,1552,2519,54,4,1447,334.31,8.64,2,3.5,High,0.86,475388.82,16.9,1
INV-000047,2023-09-28,West,Equipment,Supplier-009,WH-Central,3414,289,296,19,15,782,127.99,4.36,13,2.4,Low,0.76,436957.86,346.0,0
INV-000048,2022-12-15,East,Equipment,Supplier-046,WH-South,2180,1487,460,35,20,2067,423.0,2.24,2,1.9,Low,0.76,922140.0,142.2,0
INV-000049,2024-02-08,North,Component Y,Supplier-022,WH-West,937,878,924,22,7,4555,229.98,7.69,18,3.8,Low,0.98,215491.26,30.4,0
INV-000050,2022-03-27,North,Raw Material B,Supplier-026,WH-South,6576,369,1365,52,26,4505,42.07,9.98,4,4.3,Low,0.8,276652.32,144.5,0
INV-000051,2022-03-22,West,Raw Material B,Supplier-003,WH-East,5236,1366,4173,16,20,1642,276.24,2.41,19,4.6,Low,0.95,1446392.64,37.6,0
INV-000052,2024-08-20,North,Component X,Supplier-039,WH-West,8449,207,771,10,14,1658,143.68,2.69,13,4.6,Medium,0.97,1213952.32,328.8,0
INV-000053,2022-04-19,West,Equipment,Supplier-012,WH-East,7716,1224,2298,46,6,908,295.38,7.93,4,3.8,Medium,0.89,2279152.08,100.7,0
INV-000054,2024-04-12,West,Raw Material B,Supplier-034,WH-East,9623,900,2214,50,19,672,93.56,3.94,10,4.8,Medium,0.82,900327.88,130.4,0
INV-000055,2023-03-02,West,Equipment,Supplier-006,WH-North,6411,272,4915,15,5,1774,413.05,7.62,6,4.7,High,0.86,2648063.55,39.1,0
INV-000056,2023-05-08,North,Raw Material A,Supplier-041,WH-South,7887,915,4823,46,13,4565,87.18,3.65,7,1.8,Low,0.71,687588.66,49.1,0
INV-000057,2024-04-20,Central,Finished Good 1,Supplier-043,WH-South,2570,404,3727,31,9,781,210.79,7.58,12,1.8,Medium,0.7,541730.3,20.7,0
INV-000058,2024-07-31,Central,Component Y,Supplier-023,WH-South,7181,308,3694,55,10,2802,18.57,7.34,4,2.8,Medium,0.8,133351.17,58.3,0
INV-000059,2023-12-29,North,Component X,Supplier-014,WH-East,7452,1013,4365,36,29,1861,324.43,8.19,9,2.3,High,0.91,2417652.36,51.2,0
INV-000060,2022-02-04,West,Component Y,Supplier-024,WH-Central,9762,136,2829,29,19,944,47.47,8.15,4,4.9,Medium,0.9,463402.14,103.5,0
INV-000061,2024-12-12,West,Equipment,Supplier-041,WH-Central,574,871,470,41,4,2550,361.88,1.18,9,3.9,Low,0.78,207719.12,36.6,1
INV-000062,2023-01-14,Central,Finished Good 2,Supplier-037,WH-Central,159,1798,2081,34,27,590,335.52,6.9,11,2.5,Low,0.98,53347.68,2.3,1
INV-000063,2022-09-15,South,Equipment,Supplier-049,WH-North,5045,1692,3980,34,22,4274,209.7,4.64,9,1.9,Medium,0.81,1057936.5,38.0,0
INV-000064,2022-05-13,East,Equipment,Supplier-008,WH-North,5335,180,2797,4,26,4753,244.89,7.61,17,4.1,Low,0.85,1306488.15,57.2,0
INV-000065,2022-05-05,West,Finished Good 1,Supplier-020,WH-East,443,1432,1786,32,5,1229,418.63,9.43,19,3.7,Low,0.83,185453.09,7.4,1
INV-000066,2023-07-03,North,Raw Material B,Supplier-022,WH-West,4707,468,1924,33,13,324,128.78,4.58,10,3.6,Medium,0.73,606167.46,73.4,0
INV-000067,2022-04-07,Central,Component Y,Supplier-031,WH-East,3198,731,679,23,10,2213,319.08,2.44,6,4.5,High,0.91,1020417.84,141.3,0
INV-000068,2022-09-08,South,Equipment,Supplier-007,WH-West,4621,627,799,12,26,429,287.23,6.28,10,2.0,Low,0.97,1327289.83,173.5,0
INV-000069,2024-03-13,East,Raw Material A,Supplier-037,WH-Central,3410,550,440,44,15,2900,362.78,1.77,8,1.6,High,0.78,1237079.8,232.5,0
INV-000070,2023-06-02,North,Raw Material B,Supplier-047,WH-West,6784,1718,2516,42,15,462,202.5,2.13,13,4.5,Low,0.82,1373760.0,80.9,0
INV-000071,2024-12-18,South,Raw Material B,Supplier-047,WH-West,7073,1632,3807,3,15,1548,440.77,9.55,10,1.1,High,0.77,3117566.21,55.7,0
INV-000072,2022-09-12,West,Raw Material A,Supplier-009,WH-West,6272,1654,1334,47,3,1154,118.75,1.84,5,5.0,Low,0.9,744800.0,141.0,0
INV-000073,2024-12-19,North,Component Y,Supplier-029,WH-South,9319,1590,4488,18,25,289,402.44,6.25,12,2.0,Medium,0.99,3750338.36,62.3,0
INV-000074,2022-01-11,Central,Raw Material B,Supplier-017,WH-East,388,1777,3449,2,14,4760,301.64,8.01,9,3.1,Medium,0.78,117036.32,3.4,1
INV-000075,2023-06-20,North,Finished Good 1,Supplier-024,WH-North,5389,1295,1004,9,12,1347,399.91,5.14,14,4.6,High,0.86,2155114.99,161.0,0
INV-000076,2023-06-14,North,Finished Good 2,Supplier-016,WH-South,5594,1566,1751,16,26,3286,481.68,7.42,7,2.6,Medium,0.98,2694517.92,95.8,0
INV-000077,2022-12-30,South,Raw Material A,Supplier-035,WH-Central,6145,1594,468,54,26,4412,2.52,5.95,0,2.1,High,0.71,15485.4,393.9,0
INV-000078,2024-08-28,South,Equipment,Supplier-033,WH-South,8174,368,1161,22,21,393,15.21,9.98,1,1.1,Critical,0.86,124326.54,211.2,0
INV-000079,2024-10-17,West,Raw Material B,Supplier-017,WH-East,3093,844,2068,29,20,1245,1.29,1.26,14,4.6,Low,0.9,3989.97,44.9,0
INV-000080,2023-05-25,Central,Raw Material B,Supplier-033,WH-North,5514,1856,788,14,27,1504,156.98,2.7,14,3.2,Critical,0.98,865587.72,209.9,0
INV-000081,2024-11-22,Central,Raw Material A,Supplier-043,WH-West,9358,667,4241,57,25,1886,197.49,5.93,10,1.5,Low,0.96,1848111.42,66.2,0
INV-000082,2023-02-02,Central,Raw Material B,Supplier-025,WH-Central,6436,674,253,41,16,4639,187.55,5.36,5,4.2,Medium,0.91,1207071.8,763.2,0
INV-000083,2024-02-14,East,Finished Good 2,Supplier-027,WH-Central,6644,802,1782,31,28,3560,25.48,1.39,7,2.2,Medium,0.97,169289.12,111.9,0
INV-000084,2023-01-20,Central,Finished Good 1,Supplier-037,WH-West,8080,1646,4520,26,6,2156,451.45,5.71,8,1.0,Low,0.73,3647716.0,53.6,0
INV-000085,2024-12-18,North,Packaging,Supplier-045,WH-North,4710,544,4015,30,29,3609,65.24,1.54,10,2.7,Low,0.94,307280.4,35.2,0
INV-000086,2022-05-12,North,Raw Material A,Supplier-017,WH-North,7459,725,601,29,25,3931,270.26,7.07,7,4.1,Medium,0.9,2015869.34,372.3,0
INV-000087,2024-03-29,North,Component X,Supplier-044,WH-East,6513,172,3963,29,26,2914,452.67,6.7,17,4.2,Low,0.94,2948239.71,49.3,0
INV-000088,2023-07-03,East,Component Y,Supplier-033,WH-Central,5199,1702,1806,52,13,461,270.33,1.13,5,2.9,Low,0.78,1405445.67,86.4,0
INV-000089,2023-05-12,North,Raw Material B,Supplier-031,WH-East,3387,831,1301,34,15,540,185.26,4.93,13,4.7,Medium,0.96,627475.62,78.1,0
INV-000090,2022-11-14,South,Finished Good 2,Supplier-006,WH-West,3834,1630,1955,21,10,107,352.58,7.26,15,5.0,Low,0.96,1351791.72,58.8,0
INV-000091,2022-05-15,East,Raw Material A,Supplier-029,WH-Central,384,1709,780,6,28,1151,497.9,8.11,0,1.4,High,0.7,191193.6,14.8,1
INV-000092,2022-10-17,South,Component Y,Supplier-004,WH-West,1391,640,2839,16,7,1855,301.24,0.85,8,1.2,Low,0.79,419024.84,14.7,0
INV-000093,2024-03-30,East,Component Y,Supplier-034,WH-West,9505,310,2218,51,12,564,322.95,4.94,15,3.1,Medium,0.79,3069639.75,128.6,0
INV-000094,2023-08-28,North,Component X,Supplier-018,WH-South,7721,1383,939,58,18,3346,91.16,9.88,17,3.4,High,0.88,703846.36,246.7,0
INV-000095,2022-12-16,West,Component X,Supplier-024,WH-Central,8844,222,3761,53,20,591,132.44,4.15,7,1.2,High,0.96,1171299.36,70.5,0
INV-000096,2024-12-04,Central,Finished Good 1,Supplier-046,WH-North,3405,651,2082,28,14,4538,397.44,5.57,10,2.5,Medium,0.7,1353283.2,49.1,0
INV-000097,2023-09-22,Central,Component Y,Supplier-022,WH-South,7968,1506,548,48,17,856,375.3,3.34,0,3.8,Low,0.77,2990390.4,436.2,0
INV-000098,2024-04-14,Central,Finished Good 2,Supplier-002,WH-South,1773,243,4796,9,0,2737,119.98,1.02,15,2.4,Low,0.85,212724.54,11.1,0
INV-000099,2023-09-02,Central,Packaging,Supplier-025,WH-South,1215,1186,1808,53,0,1965,253.46,9.08,17,2.4,Low,1.0,307953.9,20.2,0
INV-000100,2022-11-21,South,Component X,Supplier-014,WH-East,6414,380,1993,6,10,2118,439.35,6.5,15,4.3,Low,0.72,2817990.9,96.5,0
INV-000101,2022-02-12,Central,Packaging,Supplier-043,WH-Central,3568,390,104,30,5,1702,90.07,5.47,7,1.1,Medium,0.95,321369.76,1029.2,0
INV-000102,2023-05-13,Central,Raw Material A,Supplier-039,WH-East,2196,945,1962,9,7,4050,362.76,8.2,14,4.4,High,0.81,796620.96,33.6,0
INV-000103,2024-05-09,West,Finished Good 1,Supplier-019,WH-North,6582,1241,3977,32,0,1717,174.46,1.9,0,1.2,Medium,0.93,1148295.72,49.7,0
INV-000104,2022-09-25,South,Component Y,Supplier-025,WH-North,6093,1897,3968,28,24,4072,33.88,8.76,5,1.1,Low,0.83,206430.84,46.1,0
INV-000105,2024-01-25,Central,Raw Material B,Supplier-036,WH-Central,4397,368,2487,25,23,706,140.95,6.29,16,2.7,Low,0.78,619757.15,53.0,0
INV-000106,2024-12-18,East,Raw Material A,Supplier-001,WH-Central,373,1336,3463,28,18,3955,210.33,7.23,1,1.0,Low,0.83,78453.09,3.2,1
INV-000107,2024-06-01,South,Equipment,Supplier-015,WH-South,1384,1312,1237,16,27,3963,372.62,6.4,14,1.6,High,0.83,515706.08,33.6,0
INV-000108,2023-03-15,East,Packaging,Supplier-025,WH-Central,9262,1638,2814,54,21,726,64.54,8.32,4,2.4,Medium,0.94,597769.48,98.7,0
INV-000109,2022-08-02,South,Packaging,Supplier-050,WH-Central,8922,504,2587,13,20,1582,428.93,8.03,9,2.4,High,0.93,3826913.46,103.5,0
INV-000110,2023-09-27,Central,Finished Good 2,Supplier-010,WH-South,7370,1960,3916,11,21,2803,162.07,5.93,19,1.5,Low,0.72,1194455.9,56.5,0
INV-000111,2023-05-31,North,Raw Material A,Supplier-018,WH-North,6242,1831,563,25,22,2691,76.11,8.48,3,4.0,High,0.94,475078.62,332.6,0
INV-000112,2022-06-18,South,Raw Material A,Supplier-009,WH-Central,4682,1128,1650,10,21,1635,185.95,7.96,10,3.0,Low,0.75,870617.9,85.1,0
INV-000113,2024-08-04,Central,Finished Good 1,Supplier-002,WH-East,6259,230,3488,55,18,2024,463.93,5.28,10,3.9,High,0.7,2903737.87,53.8,0
INV-000114,2022-03-25,South,Finished Good 1,Supplier-023,WH-North,3319,1682,2877,46,16,1499,282.3,1.4,16,2.7,Low,0.76,936953.7,34.6,0
INV-000115,2024-03-10,South,Finished Good 2,Supplier-008,WH-North,273,787,4685,22,7,2904,175.72,8.74,14,1.2,Medium,0.73,47971.56,1.7,1
INV-000116,2023-08-21,East,Packaging,Supplier-049,WH-West,6867,823,3053,50,3,4167,215.43,4.07,3,4.7,Medium,0.79,1479357.81,67.5,0
INV-000117,2024-03-09,East,Raw Material B,Supplier-006,WH-East,1669,1965,4593,11,6,1170,369.26,8.28,19,1.5,Low,0.98,616294.94,10.9,1
INV-000118,2022-11-17,West,Raw Material B,Supplier-021,WH-Central,2856,1424,1764,43,4,4217,22.83,7.84,10,1.6,High,0.86,65202.48,48.6,0
INV-000119,2023-12-28,East,Component X,Supplier-007,WH-East,4711,1800,4033,48,15,2874,475.56,1.31,1,2.2,High,0.73,2240363.16,35.0,0
INV-000120,2024-02-05,South,Raw Material B,Supplier-026,WH-South,4545,743,3571,42,28,1588,416.61,3.09,15,3.1,High,0.93,1893492.45,38.2,0
INV-000121,2023-08-19,North,Finished Good 2,Supplier-037,WH-Central,6521,134,3159,12,9,1798,443.5,8.36,17,2.2,Low,0.88,2892063.5,61.9,0
INV-000122,2022-03-28,East,Component X,Supplier-043,WH-North,7000,437,2054,23,20,1042,333.94,6.03,11,3.6,Low,0.71,2337580.0,102.2,0
INV-000123,2023-01-18,East,Packaging,Supplier-004,WH-North,5249,178,1692,49,18,4948,295.8,3.57,6,3.2,Low,0.86,1552654.2,93.1,0
INV-000124,2024-04-05,North,Equipment,Supplier-018,WH-Central,4678,1893,3959,33,21,1850,172.03,2.0,12,3.6,High,0.91,804756.34,35.4,0
INV-000125,2023-04-15,West,Raw Material A,Supplier-010,WH-East,2272,1170,3326,25,13,2542,151.05,4.61,17,1.4,Medium,0.76,343185.6,20.5,0
INV-000126,2024-01-26,West,Component Y,Supplier-033,WH-Central,5020,1952,119,15,5,3519,45.38,6.47,4,4.7,Medium,1.0,227807.6,1265.5,0
INV-000127,2023-11-28,Central,Equipment,Supplier-023,WH-Central,8038,327,3167,37,10,3190,17.85,3.85,4,2.5,Critical,0.93,143478.3,76.1,0
INV-000128,2023-01-18,East,Component X,Supplier-006,WH-Central,4160,1889,1817,44,15,925,28.03,6.21,2,3.9,Medium,0.74,116604.8,68.7,0
INV-000129,2023-08-25,West,Packaging,Supplier-007,WH-North,5749,608,2016,34,23,1770,90.36,8.22,0,1.2,High,0.83,519479.64,85.6,0
INV-000130,2023-01-28,Central,Raw Material A,Supplier-040,WH-West,6124,954,3604,30,3,382,81.82,3.07,2,4.3,Low,0.84,501065.68,51.0,0
INV-000131,2022-02-17,West,Raw Material B,Supplier-026,WH-East,7397,233,1387,36,5,3319,392.88,1.35,7,3.3,Medium,0.87,2906133.36,160.0,0
INV-000132,2022-06-23,North,Raw Material A,Supplier-004,WH-Central,513,300,1229,19,21,2736,53.46,2.21,7,1.1,Medium,0.72,27424.98,12.5,0
INV-000133,2024-08-20,South,Raw Material A,Supplier-004,WH-West,9811,976,3328,46,17,1282,383.14,2.75,3,1.2,Low,0.75,3758986.54,88.4,0
INV-000134,2024-02-12,North,Equipment,Supplier-033,WH-East,4783,1084,1535,19,17,1186,220.59,1.73,10,2.3,Low,0.95,1055081.97,93.5,0
INV-000135,2023-09-23,North,Raw Material A,Supplier-037,WH-East,1785,1164,4609,40,0,2407,479.95,4.36,9,2.0,High,0.79,856710.75,11.6,0
INV-000136,2024-04-22,North,Component Y,Supplier-049,WH-Central,7047,1479,1870,8,9,519,302.49,3.6,16,4.9,Low,0.99,2131647.03,113.1,0
INV-000137,2023-07-28,North,Component Y,Supplier-036,WH-East,8493,729,3805,17,13,3900,279.42,4.14,3,3.2,Low,0.75,2373114.06,67.0,0
INV-000138,2023-08-19,South,Component X,Supplier-005,WH-West,1922,372,3032,26,0,4669,321.79,3.92,8,2.3,Low,0.73,618480.38,19.0,0
INV-000139,2024-11-16,South,Finished Good 2,Supplier-046,WH-South,3838,317,364,10,25,1904,247.41,2.86,12,4.0,Low,0.7,949559.58,316.3,0
INV-000140,2024-12-22,Central,Packaging,Supplier-029,WH-Central,4166,1261,1121,8,23,4687,285.89,6.59,9,3.2,Low,0.91,1191017.74,111.5,0
INV-000141,2024-10-31,West,Component X,Supplier-011,WH-Central,5620,1577,4638,27,26,335,353.33,2.8,12,2.6,High,0.91,1985714.6,36.4,0
INV-000142,2022-02-16,East,Equipment,Supplier-026,WH-East,7346,571,3536,12,13,1307,422.02,9.35,7,1.4,Low,0.7,3100158.92,62.3,0
INV-000143,2023-04-08,South,Packaging,Supplier-013,WH-South,2418,206,3219,43,16,973,461.03,3.53,2,1.3,Low,0.87,1114770.54,22.5,0
INV-000144,2022-08-12,West,Component X,Supplier-029,WH-West,6604,226,3627,58,26,2140,344.44,9.56,17,1.4,Medium,0.98,2274681.76,54.6,0
INV-000145,2024-01-25,Central,Finished Good 2,Supplier-015,WH-North,2407,339,1732,58,1,4072,458.85,2.3,3,2.2,Low,0.75,1104451.95,41.7,0
INV-000146,2023-05-10,West,Component Y,Supplier-046,WH-South,1209,1095,1677,44,18,882,272.52,1.32,3,4.8,Low,0.79,329476.68,21.6,0
INV-000147,2024-10-22,East,Component X,Supplier-008,WH-East,1684,843,4334,24,8,3361,118.77,3.42,18,2.3,High,0.7,200008.68,11.7,0
INV-000148,2024-11-28,North,Equipment,Supplier-050,WH-West,8670,1587,3293,53,10,503,170.03,3.56,3,1.3,High,0.99,1474160.1,79.0,0
INV-000149,2023-01-01,East,Finished Good 2,Supplier-027,WH-East,8985,802,4934,35,20,3155,431.83,8.18,3,3.9,High,0.76,3879992.55,54.6,0
INV-000150,2023-07-19,East,Raw Material B,Supplier-039,WH-Central,4957,204,519,53,17,3693,322.22,7.84,4,4.2,Low,0.72,1597244.54,286.5,0
INV-000151,2023-11-11,South,Component X,Supplier-005,WH-East,4158,1168,711,34,2,675,140.08,2.26,16,2.2,Medium,0.83,582452.64,175.4,0
INV-000152,2022-10-02,South,Finished Good 1,Supplier-047,WH-Central,5564,623,4853,9,28,4990,289.13,9.27,12,4.0,Low,0.71,1608719.32,34.4,0
INV-000153,2024-08-11,East,Raw Material A,Supplier-019,WH-North,5307,916,2840,2,18,2711,332.34,3.86,13,1.5,High,0.76,1763728.38,56.1,0
INV-000154,2022-05-07,North,Component Y,Supplier-005,WH-East,1329,485,3504,36,23,4341,499.16,9.88,6,3.6,Low,0.8,663383.64,11.4,0
INV-000155,2023-11-28,North,Packaging,Supplier-002,WH-West,1025,1631,4699,6,18,3359,253.79,9.67,7,3.6,Low,0.83,260134.75,6.5,1
INV-000156,2022-03-18,South,Raw Material A,Supplier-023,WH-East,8260,697,2383,40,26,2601,450.77,3.09,2,3.4,Critical,0.82,3723360.2,104.0,0
INV-000157,2023-08-17,North,Raw Material B,Supplier-038,WH-Central,9966,244,2566,27,0,4407,170.53,4.79,19,1.6,Low,0.8,1699501.98,116.5,0
INV-000158,2022-04-28,East,Component Y,Supplier-027,WH-West,8830,542,2718,48,18,327,319.52,8.53,3,3.1,Critical,0.81,2821361.6,97.5,0
INV-000159,2023-08-20,East,Finished Good 2,Supplier-026,WH-North,7655,362,3863,55,21,3796,396.34,3.37,1,2.0,High,0.92,3033982.7,59.4,0
INV-000160,2023-05-05,Central,Packaging,Supplier-036,WH-West,4101,375,711,13,22,1696,465.63,4.77,5,2.5,High,1.0,1909548.63,173.0,0
INV-000161,2023-02-24,Central,Packaging,Supplier-040,WH-East,5531,327,2253,42,17,3894,241.68,2.33,0,4.5,High,0.75,1336732.08,73.6,0
INV-000162,2023-03-19,East,Finished Good 2,Supplier-021,WH-West,3926,1241,4132,23,3,4661,427.69,5.22,19,2.0,Medium,0.92,1679110.94,28.5,0
INV-000163,2023-03-04,East,Raw Material B,Supplier-008,WH-Central,687,1055,1120,46,6,606,262.59,3.1,10,2.0,Low,0.92,180399.33,18.4,1
INV-000164,2023-12-29,South,Finished Good 1,Supplier-040,WH-South,9660,965,3325,58,5,1671,324.45,1.58,6,2.7,High,0.91,3134187.0,87.2,0
INV-000165,2023-02-02,West,Packaging,Supplier-038,WH-South,7416,1837,874,24,23,2875,121.58,7.07,1,2.0,Critical,0.84,901637.28,254.6,0
INV-000166,2024-12-13,Central,Component Y,Supplier-025,WH-North,3967,928,517,47,23,4883,412.28,3.9,14,3.5,Medium,0.7,1635514.76,230.2,0
INV-000167,2023-06-12,North,Component X,Supplier-008,WH-North,5403,1325,973,2,10,4244,484.21,5.55,0,3.0,Medium,0.78,2616186.63,166.6,0
INV-000168,2023-10-08,East,Raw Material A,Supplier-021,WH-West,4165,288,1385,23,2,4442,389.3,5.76,13,4.1,Low,0.72,1621434.5,90.2,0
INV-000169,2022-09-08,West,Raw Material A,Supplier-030,WH-North,2386,1872,266,19,28,813,135.63,6.11,6,4.3,High,0.89,323613.18,269.1,0
