record_id,date,region,country,category,indicator,value,target_value,previous_year_value,population_affected,budget_allocated,budget_spent,projects_completed,projects_in_progress,satisfaction_rating,trend_direction,priority_level,year_over_year_change,target_achievement,budget_utilization
PUB-00033,2022-11-27,Central,France,Employment,Unemployment Rate,19.73,51.12,86.52,6493051,25435544.05,34183870.8,15,24,4.5,Declining,Low,-77.2,38.6,134.39
PUB-00034,2022-10-14,West,France,Health,Access to Clean Water,49.59,64.96,21.23,7096171,30988722.75,4587925.99,95,44,3.1,Improving,High,133.58,76.34,14.81
PUB-00035,2023-04-15,West,UK,Health,School Enrollment Rate,48.2,60.61,32.54,2865888,44261050.63,43990264.15,33,17,1.3,Improving,High,48.13,79.52,99.39
PUB-00036,2022-10-20,East,India,Infrastructure,Life Expectancy,30.37,83.23,22.03,1575779,26711778.21,623290.85,51,11,4.9,Stable,High,37.86,36.49,2.33
PUB-00037,2022-10-31,Central,Australia,Employment,Income Inequality,24.67,84.66,52.98,3936077,4301343.27,19832447.48,27,46,1.9,Declining,High,-53.44,29.14,461.08
PUB-00038,2023-01-06,East,France,Housing,Income Inequality,48.08,85.04,49.55,4119611,10258872.44,2774986.54,52,37,2.5,Declining,High,-2.97,56.54,27.05
PUB-00039,2022-12-25,Central,UK,Employment,Air Quality Index,22.69,78.52,89.42,733880,25979078.43,13681206.52,82,0,4.7,Declining,Low,-74.63,28.9,52.66
PUB-00040,2022-11-14,Central,Germany,Housing,Renewable Energy %,10.5,76.99,77.37,679623,2409132.98,2913719.84,67,13,2.6,Improving,Medium,-86.43,13.64,120.94
PUB-00041,2023-08-05,East,France,Employment,CO2 Emissions,72.75,82.76,45.82,5746700,42694980.84,25569594.03,80,9,3.2,Stable,High,58.77,87.9,59.89
PUB-00042,2022-01-27,East,Mexico,Education,Unemployment Rate,73.04,86.39,47.77,1666360,40501661.6,43227053.8,70,24,3.0,Improving,Critical,52.9,84.55,106.73
PUB-00043,2023-07-23,West,France,Health,Access to Clean Water,47.76,97.16,18.1,9321242,7113172.81,13773968.81,32,21,3.4,Improving,Medium,163.87,49.16,193.64
PUB-00044,2024-08-22,East,India,Education,Unemployment Rate,63.22,80.1,35.86,9051687,28525153.55,46480081.99,51,24,3.9,Stable,Low,76.3,78.93,162.94
PUB-00045,2023-11-01,North,Germany,Infrastructure,School Enrollment Rate,96.83,53.44,45.78,2489022,6600035.26,21199395.66,83,23,4.0,Declining,Medium,111.51,181.19,321.2
PUB-00046,2022-11-15,South,Canada,Infrastructure,CO2 Emissions,28.55,54.23,52.29,4302548,48885650.72,40926146.86,7,17,1.4,Stable,High,-45.4,52.65,83.72
PUB-00047,2024-12-13,South,Australia,Employment,Income Inequality,42.01,82.94,18.72,9864316,21171664.8,31482534.96,46,49,3.8,Declining,Critical,124.41,50.65,148.7
PUB-00048,2023-01-30,North,UK,Education,Life Expectancy,45.96,92.42,39.26,9737238,115884.02,9886017.65,16,44,1.3,Declining,Critical,17.07,49.73,8530.96
PUB-00049,2024-01-04,North,Japan,Health,Unemployment Rate,16.54,88.77,81.04,9377757,48789993.68,27721465.42,15,20,4.5,Declining,Medium,-79.59,18.63,56.82
PUB-00050,2023-09-01,East,UK,Infrastructure,Renewable Energy %,75.81,67.97,75.38,976642,8105847.19,38347672.77,14,8,2.6,Declining,Low,0.57,111.53,473.09
PUB-00051,2022-03-07,North,UK,Housing,Life Expectancy,15.06,94.49,91.23,5411787,23791925.71,11151317.15,36,24,1.7,Improving,Medium,-83.49,15.94,46.87
PUB-00052,2022-01-03,East,USA,Infrastructure,School Enrollment Rate,97.53,58.24,30.27,9476837,30714860.29,26825882.18,41,45,1.3,Improving,Low,222.2,167.46,87.34
PUB-00053,2023-07-13,West,Brazil,Infrastructure,Access to Clean Water,30.36,52.49,19.24,2885269,18506834.01,34840260.17,1,32,4.1,Improving,High,57.8,57.84,188.26
PUB-00054,2022-07-08,Central,USA,Infrastructure,Access to Clean Water,13.84,74.06,71.38,1240892,14106976.48,7636531.89,71,26,3.7,Stable,Medium,-80.61,18.69,54.13
PUB-00055,2022-03-21,West,Japan,Housing,Housing Affordability Index,58.33,61.95,25.14,7208991,37067963.33,28213999.57,75,41,1.8,Declining,High,132.02,94.16,76.11
PUB-00056,2023-07-03,South,UK,Health,Unemployment Rate,49.49,65.84,55.97,1820721,29080103.32,30132105.5,4,25,3.5,Declining,Medium,-11.58,75.17,103.62
PUB-00057,2024-07-15,South,Mexico,Infrastructure,CO2 Emissions,29.35,64.68,47.65,9284670,42586895.12,6190116.47,40,48,2.7,Improving,Low,-38.41,45.38,14.54
PUB-00058,2022-08-26,East,Brazil,Employment,Access to Clean Water,47.77,65.49,21.54,5554173,31363855.36,26291378.29,18,38,3.8,Stable,Low,121.77,72.94,83.83
PUB-00059,2023-04-13,North,Germany,Housing,Renewable Energy %,16.58,74.69,25.82,5763093,30853609.03,22123087.75,37,21,1.1,Declining,Low,-35.79,22.2,71.7
PUB-00060,2024-02-03,North,Canada,Housing,Access to Clean Water,81.9,51.0,61.07,2437879,8250405.56,27348228.48,45,46,4.8,Stable,Medium,34.11,160.59,331.48
PUB-00061,2022-07-28,South,USA,Employment,CO2 Emissions,63.57,60.21,84.95,483937,30419302.64,33673709.44,91,38,2.6,Improving,High,-25.17,105.58,110.7
PUB-00062,2022-08-25,North,Mexico,Health,Renewable Energy %,82.84,82.94,36.22,5344527,44680243.36,31061104.43,91,24,2.4,Stable,Critical,128.71,99.88,69.52
PUB-00063,2023-05-20,South,Mexico,Housing,Air Quality Index,59.99,90.31,77.3,8332521,44646283.4,25931468.39,6,9,3.5,Improving,High,-22.39,66.43,58.08
PUB-00064,2023-12-12,North,Mexico,Employment,Life Expectancy,73.51,98.2,15.36,8229571,46113569.0,25622080.29,65,38,3.0,Improving,High,378.58,74.86,55.56
PUB-00065,2022-03-02,West,France,Housing,Access to Clean Water,22.73,61.31,39.45,5153776,42150636.05,37929352.4,80,31,2.1,Stable,High,-42.38,37.07,89.99
PUB-00066,2023-10-06,South,Brazil,Climate,Income Inequality,63.61,95.18,29.54,2694314,22609165.61,41187593.25,66,48,1.5,Improving,Medium,115.34,66.83,182.17
PUB-00067,2023-02-02,Central,India,Climate,Unemployment Rate,85.57,56.51,70.45,8520820,30091262.08,28835501.41,46,22,4.8,Stable,Medium,21.46,151.42,95.83
PUB-00068,2023-10-15,East,Canada,Education,Air Quality Index,29.52,98.94,26.67,3767261,41985177.32,14829339.72,84,27,2.5,Stable,Critical,10.69,29.84,35.32
PUB-00069,2024-06-26,East,France,Housing,CO2 Emissions,43.19,50.38,23.66,2848563,13259333.58,288765.62,43,5,4.7,Improving,Low,82.54,85.73,2.18
PUB-00070,2022-10-26,East,Mexico,Education,Air Quality Index,68.83,78.5,61.83,2789277,47963072.5,28543471.45,52,1,2.1,Stable,High,11.32,87.68,59.51
PUB-00071,2022-12-04,Central,USA,Education,CO2 Emissions,45.85,55.8,63.53,6741416,38495643.33,43771541.22,28,0,2.5,Stable,Medium,-27.83,82.17,113.71
PUB-00072,2024-12-22,North,India,Education,Air Quality Index,42.18,62.12,38.26,7089209,48169946.27,21006502.6,84,25,2.8,Stable,Medium,10.25,67.9,43.61
PUB-00073,2022-09-26,East,Australia,Housing,Access to Clean Water,88.67,52.34,30.4,5796578,45405175.06,28228269.15,71,2,2.1,Stable,Critical,191.68,169.41,62.17
PUB-00074,2022-01-16,South,Australia,Education,Air Quality Index,99.24,72.91,60.82,1460500,41397293.05,42324670.71,48,11,2.8,Improving,High,63.17,136.11,102.24
PUB-00075,2024-06-13,West,Brazil,Education,School Enrollment Rate,45.01,80.17,94.92,8946696,17493211.07,27427278.13,98,46,1.2,Improving,Medium,-52.58,56.14,156.79
PUB-00076,2023-08-16,West,France,Housing,Life Expectancy,74.66,68.8,19.59,4172732,3801507.46,21671117.83,58,21,2.7,Declining,Medium,281.11,108.52,570.07
PUB-00077,2022-08-29,West,UK,Health,School Enrollment Rate,36.05,60.7,86.77,7224194,18248035.63,14299522.91,60,43,1.7,Stable,Medium,-58.45,59.39,78.36
PUB-00078,2024-01-07,South,France,Health,Income Inequality,98.57,65.18,11.19,4800205,21849222.6,4392080.06,79,40,2.0,Declining,Critical,780.88,151.23,20.1
PUB-00079,2024-09-29,West,Germany,Education,Life Expectancy,81.49,86.16,70.08,346171,35983304.44,17405205.96,11,39,3.8,Stable,High,16.28,94.58,48.37
PUB-00080,2022-03-25,East,UK,Climate,Hospital Beds per 1000,58.62,89.34,19.38,7187269,29350672.12,41908176.77,95,41,3.7,Improving,Medium,202.48,65.61,142.78
PUB-00081,2024-08-09,North,Germany,Infrastructure,Unemployment Rate,73.65,58.6,67.82,793444,9812135.37,3763836.75,99,38,1.7,Improving,Medium,8.6,125.68,38.36
PUB-00082,2024-12-09,East,Brazil,Education,Access to Clean Water,93.16,66.09,62.53,3282656,34573993.24,7341548.2,66,7,2.6,Improving,Medium,48.98,140.96,21.23
PUB-00083,2023-05-08,West,Japan,Health,School Enrollment Rate,74.31,90.82,42.49,1799215,3830164.89,2181843.61,39,46,3.3,Declining,Low,74.89,81.82,56.96
PUB-00084,2022-03-01,East,France,Health,Unemployment Rate,41.12,59.03,71.45,4384139,41877401.41,23443833.02,79,10,2.5,Improving,High,-42.45,69.66,55.98
PUB-00085,2022-09-19,Central,Germany,Health,Hospital Beds per 1000,40.69,56.2,76.79,4608734,2701544.61,31645453.13,38,20,1.5,Declining,Medium,-47.01,72.4,1171.38
PUB-00086,2022-02-05,Central,Australia,Climate,Access to Clean Water,12.38,56.5,77.54,6018833,39959998.32,44427694.38,88,16,3.8,Stable,Critical,-84.03,21.91,111.18
PUB-00087,2022-05-30,West,Brazil,Employment,Access to Clean Water,59.27,76.0,33.13,1858417,28539139.59,44828122.53,39,21,3.6,Improving,Low,78.9,77.99,157.08
PUB-00088,2022-02-18,West,Brazil,Housing,Air Quality Index,86.19,80.15,63.24,972257,46184841.75,47270171.0,20,1,4.3,Stable,Medium,36.29,107.54,102.35
PUB-00089,2023-09-07,Central,UK,Health,Hospital Beds per 1000,37.05,63.76,42.39,9039254,46719156.12,46742222.67,54,26,3.6,Improving,Medium,-12.6,58.11,100.05
PUB-00090,2022-07-29,East,USA,Housing,Unemployment Rate,75.22,82.35,43.45,994803,6279994.42,33704597.31,72,3,4.9,Declining,Low,73.12,91.34,536.7
PUB-00091,2023-08-13,Central,UK,Infrastructure,Renewable Energy %,44.36,65.44,89.59,8966784,16199962.49,26783689.85,1,47,3.0,Improving,Low,-50.49,67.79,165.33
PUB-00092,2023-11-06,South,Canada,Health,Life Expectancy,45.63,87.72,82.24,6810384,11844604.25,31003768.22,20,11,3.3,Declining,Critical,-44.52,52.02,261.75
PUB-00093,2023-05-12,South,India,Infrastructure,Unemployment Rate,28.89,84.39,76.32,6991955,18995133.31,2023634.39,14,2,1.6,Declining,High,-62.15,34.23,10.65
PUB-00094,2023-09-10,East,India,Housing,Air Quality Index,61.02,61.45,47.09,1581361,14052447.71,18552844.06,7,7,1.9,Declining,Medium,29.58,99.3,132.03
PUB-00095,2022-06-08,Central,Brazil,Climate,Housing Affordability Index,51.11,94.95,60.68,6375587,35207380.02,19156245.62,71,41,1.9,Improving,High,-15.77,53.83,54.41
PUB-00096,2023-11-13,East,Germany,Climate,Renewable Energy %,53.78,65.25,78.55,9484717,10345017.93,26096496.89,39,2,1.9,Improving,Critical,-31.53,82.42,252.26
PUB-00097,2022-09-16,East,Japan,Health,Income Inequality,39.38,77.34,88.01,8728394,14447796.94,16336723.08,59,44,4.3,Improving,Medium,-55.26,50.92,113.07
PUB-00098,2024-11-11,South,India,Employment,Housing Affordability Index,25.17,86.38,73.38,49992,1702637.51,15317415.15,18,21,2.4,Improving,High,-65.7,29.14,899.63
PUB-00099,2022-07-15,South,Mexico,Education,Access to Clean Water,46.53,57.79,44.84,9443588,45433986.59,45735971.88,49,24,2.8,Improving,Medium,3.77,80.52,100.66
PUB-00100,2023-06-22,East,Canada,Education,Life Expectancy,41.71,67.01,48.3,6783676,5990357.34,12603179.53,55,43,4.1,Declining,Medium,-13.64,62.24,210.39
PUB-00101,2023-08-13,East,India,Employment,CO2 Emissions,38.6,62.95,59.25,7296559,7126297.41,20846673.95,31,2,4.5,Improving,Medium,-34.85,61.32,292.53
PUB-00102,2024-08-19,Central,Canada,Housing,CO2 Emissions,70.73,87.8,36.84,4354606,40671387.77,14622661.46,62,20,4.6,Improving,Medium,91.99,80.56,35.95
PUB-00103,2024-04-19,South,UK,Infrastructure,School Enrollment Rate,50.38,68.93,51.64,2708950,11419553.44,19492729.42,44,13,1.2,Declining,Medium,-2.44,73.09,170.7
PUB-00104,2024-07-19,South,Brazil,Climate,Life Expectancy,61.2,95.98,54.21,2901378,33790713.04,14449566.4,69,49,2.7,Declining,Medium,12.89,63.76,42.76
PUB-00105,2023-08-13,South,Japan,Climate,Unemployment Rate,66.31,66.34,75.51,4792048,27451220.12,36120516.11,88,24,3.3,Stable,Medium,-12.18,99.95,131.58
PUB-00106,2022-09-21,East,Brazil,Employment,Access to Clean Water,78.47,99.02,57.31,7300925,18287440.91,30569616.48,64,48,4.4,Stable,Critical,36.92,79.25,167.16
PUB-00107,2022-03-16,West,France,Health,Housing Affordability Index,55.49,88.29,63.21,168464,22936873.02,38369593.11,86,7,4.1,Declining,Medium,-12.21,62.85,167.28
PUB-00108,2022-12-25,Central,Australia,Housing,Income Inequality,63.22,87.95,73.57,5713083,12692646.22,21912315.53,25,2,2.4,Declining,High,-14.07,71.88,172.64
PUB-00109,2022-06-24,North,France,Climate,School Enrollment Rate,56.0,65.56,20.22,5561274,23348142.48,44592700.1,98,8,1.3,Stable,Medium,176.95,85.42,190.99
PUB-00110,2024-11-10,South,Australia,Education,Life Expectancy,53.85,78.96,10.7,1468633,15712818.16,8886929.26,24,24,3.2,Stable,Medium,403.27,68.2,56.56
PUB-00111,2023-04-03,South,USA,Employment,Air Quality Index,32.34,95.21,10.83,6787488,45077867.61,34680154.63,77,4,1.5,Declining,Medium,198.61,33.97,76.93
PUB-00112,2022-02-16,West,France,Climate,School Enrollment Rate,93.59,91.25,83.51,1954390,49970446.01,23190326.22,96,2,3.4,Declining,High,12.07,102.56,46.41
PUB-00113,2024-02-29,East,Canada,Climate,Air Quality Index,23.12,65.27,83.42,8549465,9778754.62,5655499.08,53,16,1.4,Stable,Critical,-72.28,35.42,57.83
PUB-00114,2023-03-31,West,Japan,Climate,Income Inequality,88.26,54.05,71.32,395645,6703092.31,27132154.55,15,38,1.5,Improving,Critical,23.75,163.29,404.77
PUB-00115,2023-12-07,North,France,Infrastructure,Hospital Beds per 1000,69.39,77.21,80.74,7716028,2570019.24,47412216.86,94,6,2.3,Declining,Critical,-14.06,89.87,1844.82
PUB-00116,2024-10-16,South,UK,Employment,Housing Affordability Index,61.34,63.0,33.28,5477588,38652255.47,35692975.67,8,15,2.8,Improving,Medium,84.31,97.37,92.34
PUB-00117,2022-02-21,South,Japan,Climate,Life Expectancy,45.37,70.73,68.4,9722625,12926856.83,2118785.22,7,4,4.1,Improving,Medium,-33.67,64.15,16.39
PUB-00118,2023-04-11,East,France,Climate,Renewable Energy %,92.5,57.78,22.15,2303349,36804128.83,37446178.65,96,17,1.3,Stable,High,317.61,160.09,101.74
PUB-00119,2024-08-09,East,France,Climate,Unemployment Rate,16.52,70.82,40.36,16792,34533599.77,2492929.35,62,11,4.5,Stable,Low,-59.07,23.33,7.22
PUB-00120,2022-08-25,East,France,Climate,Income Inequality,80.01,80.8,36.64,7850693,11555395.53,24251064.11,54,41,1.1,Improving,Critical,118.37,99.02,209.87
PUB-00121,2022-10-26,North,UK,Education,Unemployment Rate,35.88,94.74,67.61,2121239,31808354.44,3571115.66,13,48,3.0,Stable,Medium,-46.93,37.87,11.23
PUB-00122,2022-07-19,East,Japan,Employment,Renewable Energy %,78.01,75.22,75.4,9737994,32289193.72,17177282.41,35,15,2.2,Stable,Medium,3.46,103.71,53.2
PUB-00123,2023-03-31,East,UK,Employment,Renewable Energy %,70.6,63.46,55.33,8927906,13568405.83,38397094.34,87,12,4.5,Stable,High,27.6,111.25,282.99
PUB-00124,2024-06-29,North,Germany,Housing,Unemployment Rate,28.82,52.65,92.44,1175904,39923933.26,36066636.7,92,41,3.5,Declining,Medium,-68.82,54.74,90.34
PUB-00125,2023-05-29,Central,Japan,Employment,Life Expectancy,54.81,96.59,59.96,9265935,22146296.96,17056081.21,74,24,4.2,Improving,Medium,-8.59,56.75,77.02
PUB-00126,2023-05-06,West,France,Health,Hospital Beds per 1000,64.65,86.04,47.71,8605997,46347244.91,14320538.32,81,23,4.4,Declining,High,35.51,75.14,30.9
PUB-00127,2024-04-04,North,Germany,Education,Unemployment Rate,37.54,99.17,42.77,1061376,19574760.76,28005712.15,73,8,1.1,Stable,Low,-12.23,37.85,143.07
PUB-00128,2022-01-29,West,USA,Housing,Renewable Energy %,61.94,96.76,86.27,7903399,44036152.07,40736660.67,92,35,4.0,Declining,High,-28.2,64.01,92.51
PUB-00129,2023-10-16,Central,India,Employment,Renewable Energy %,33.47,83.83,61.45,1709468,41807313.65,14408344.55,89,39,2.4,Stable,High,-45.53,39.93,34.46
PUB-00130,2023-11-11,Central,Canada,Employment,Access to Clean Water,81.0,60.72,77.54,8683243,30168688.42,7688164.02,87,12,1.7,Declining,High,4.46,133.4,25.48
PUB-00131,2023-10-24,South,Canada,Climate,Air Quality Index,42.68,61.46,72.96,9664335,3632656.32,43408754.24,0,38,1.6,Declining,High,-41.5,69.44,1194.96
PUB-00132,2023-12-07,Central,Brazil,Infrastructure,Renewable Energy %,18.38,90.5,72.46,919348,5070483.25,18057939.39,10,28,2.2,Improving,Medium,-74.63,20.31,356.14
PUB-00133,2024-10-06,South,Mexico,Climate,Income Inequality,74.44,80.65,67.79,2358111,17660812.23,32160267.26,59,13,2.8,Improving,Medium,9.81,92.3,182.1
PUB-00134,2024-02-02,South,Brazil,Climate,Renewable Energy %,70.5,54.54,22.95,2007160,34146530.88,12118307.91,50,45,4.0,Improving,Medium,207.19,129.26,35.49
PUB-00135,2023-09-19,Central,France,Climate,Unemployment Rate,97.01,64.27,26.89,8723762,26026367.36,9143881.01,38,33,2.6,Declining,Medium,260.77,150.94,35.13
PUB-00136,2022-02-12,West,France,Education,Hospital Beds per 1000,95.09,54.04,68.55,8371434,30722173.43,31509339.56,62,13,2.0,Stable,Low,38.72,175.96,102.56
PUB-00137,2023-07-24,North,USA,Infrastructure,School Enrollment Rate,36.48,73.13,70.7,621753,27949312.27,18024123.09,89,29,2.0,Improving,Medium,-48.4,49.88,64.49
PUB-00138,2023-01-18,East,Australia,Health,Access to Clean Water,49.91,91.23,34.08,3435191,4577004.51,7873825.79,3,27,1.1,Stable,Medium,46.45,54.71,172.03
PUB-00139,2022-01-02,Central,Mexico,Infrastructure,School Enrollment Rate,71.11,82.84,60.43,3979408,9289825.15,5392370.24,82,34,3.2,Declining,High,17.67,85.84,58.05
PUB-00140,2024-05-08,Central,USA,Climate,Renewable Energy %,36.48,86.15,81.66,5483390,30588190.57,11621794.33,52,2,3.6,Declining,High,-55.33,42.34,37.99
PUB-00141,2024-05-30,East,Japan,Health,CO2 Emissions,19.61,56.49,28.82,4173214,17334804.4,14617919.82,8,4,2.5,Stable,High,-31.96,34.71,84.33
PUB-00142,2022-04-11,East,Japan,Employment,Renewable Energy %,92.72,75.6,14.34,6201021,16599319.64,22401128.25,1,2,4.2,Improving,Critical,546.58,122.65,134.95
PUB-00143,2023-09-03,East,France,Education,School Enrollment Rate,81.8,75.92,63.11,3453532,5252558.83,40586764.6,46,27,4.4,Stable,Low,29.61,107.74,772.7
PUB-00144,2024-01-06,East,Brazil,Housing,Income Inequality,82.08,75.56,89.22,5504047,40609264.69,29875253.59,85,34,2.6,Declining,High,-8.0,108.63,73.57
PUB-00145,2022-11-10,Central,Australia,Housing,Access to Clean Water,53.23,78.19,52.82,542546,15710509.67,5051266.39,92,13,2.8,Improving,Medium,0.78,68.08,32.15
PUB-00146,2024-11-30,North,India,Education,Unemployment Rate,24.87,98.3,41.32,9938398,15918904.63,37940641.63,55,22,4.9,Stable,High,-39.81,25.3,238.34
PUB-00147,2024-05-28,East,Japan,Housing,Income Inequality,70.86,96.78,72.91,371091,49321614.45,732008.28,18,18,1.1,Declining,Medium,-2.81,73.22,1.48
PUB-00148,2022-01-31,West,Japan,Climate,Life Expectancy,61.27,72.02,23.25,5002227,8772115.43,14508076.17,21,20,3.6,Improving,Medium,163.53,85.07,165.39
PUB-00149,2024-02-12,East,Brazil,Climate,Housing Affordability Index,79.08,67.59,25.26,2814353,41617280.45,25427732.15,40,18,1.3,Improving,Medium,213.06,117.0,61.1
PUB-00150,2022-05-17,East,UK,Employment,Access to Clean Water,28.81,61.51,67.84,8496764,30434502.88,35187486.06,3,18,3.6,Declining,Medium,-57.53,46.84,115.62
PUB-00151,2022-04-10,Central,India,Health,Renewable Energy %,22.49,78.46,61.04,7819037,12097828.17,5391817.73,13,6,1.3,Stable,High,-63.16,28.66,44.57
PUB-00152,2024-03-06,Central,France,Infrastructure,Income Inequality,24.83,88.4,81.05,2843157,16585621.81,5817243.47,97,0,2.1,Improving,Medium,-69.36,28.09,35.07
PUB-00153,2023-11-11,West,Canada,Employment,Access to Clean Water,70.57,72.13,11.7,3700896,44114139.44,45544986.24,43,15,3.3,Stable,High,503.16,97.84,103.24
PUB-00154,2024-05-10,East,Japan,Housing,Renewable Energy %,79.7,57.63,28.36,8116410,36415755.89,39240254.3,58,10,1.8,Stable,Medium,181.03,138.3,107.76
PUB-00155,2024-07-30,South,Australia,Climate,Life Expectancy,70.01,54.31,46.99,9373496,32101746.62,5540913.34,10,37,4.9,Improving,Medium,48.99,128.91,17.26
PUB-00156,2023-05-08,East,Canada,Climate,Income Inequality,95.52,50.14,91.13,7185346,15552511.25,30455815.43,50,4,2.6,Improving,High,4.82,190.51,195.83
