transaction_id,date,region,country,customer_id,transaction_type,merchant_category,amount,device_type,ip_risk_score,velocity_24h,distance_from_home,time_since_last_txn_minutes,failed_attempts,is_weekend,is_night,is_international,fraud_risk_score,is_fraud,is_anomaly
FRD-000030,2023-11-29,East,Brazil,CUST-1743,Purchase,Gas Station,2413.98,POS,43.3,32,1785,8833,9,0,0,0,22.3,0,0
FRD-000031,2022-10-28,East,Brazil,CUST-0518,Withdrawal,Travel,883.38,Mobile,94.8,48,425,8929,8,1,0,0,30.5,0,0
FRD-000032,2022-04-04,East,Germany,CUST-1808,Payment,Entertainment,300.82,POS,62.1,46,151,6320,5,0,0,0,22.5,0,0
FRD-000033,2024-01-11,East,Canada,CUST-1582,Deposit,Gas Station,609.68,POS,23.0,39,986,2596,9,0,0,0,19.5,0,0
FRD-000034,2024-03-05,Central,Canada,CUST-1190,Payment,Retail,203.04,Desktop,35.6,37,3286,5971,1,0,0,0,18.4,0,0
FRD-000035,2022-05-25,North,France,CUST-1887,Transfer,Online,1015.67,ATM,44.2,48,2806,3384,3,0,0,0,22.7,0,0
FRD-000036,2022-03-10,South,Mexico,CUST-1481,Refund,Online,1187.28,Mobile,32.7,25,375,3341,9,0,0,0,17.2,1,0
FRD-000037,2022-05-02,East,Japan,CUST-1348,Withdrawal,Entertainment,417.52,ATM,45.9,6,3903,9351,7,0,0,0,19.2,0,0
FRD-000038,2024-04-14,South,Canada,CUST-0291,Refund,Healthcare,3.98,POS,18.3,35,4777,5383,5,0,0,0,20.7,0,0
FRD-000039,2024-09-24,East,Australia,CUST-1846,Purchase,Gas Station,839.99,Mobile,25.7,42,4378,853,9,1,0,0,25.6,0,0
FRD-000040,2022-01-27,South,India,CUST-1741,Withdrawal,Retail,377.21,POS,27.1,45,4995,8500,5,0,0,0,24.3,1,0
FRD-000041,2022-02-09,Central,UK,CUST-1340,Refund,Entertainment,51.3,Mobile,11.4,46,4510,5203,8,0,1,0,33.7,0,0
FRD-000042,2024-03-25,East,USA,CUST-1047,Payment,Healthcare,31.21,Mobile,17.1,10,219,7662,6,1,1,0,19.4,0,0
FRD-000043,2024-05-27,North,Japan,CUST-0191,Refund,Entertainment,338.19,Tablet,64.7,37,1769,5980,8,0,0,0,25.8,0,0
FRD-000044,2022-05-01,South,Brazil,CUST-0673,Payment,Online,562.45,Desktop,91.6,46,4863,1490,0,1,0,0,30.2,0,0
FRD-000045,2022-05-31,North,Mexico,CUST-0004,Withdrawal,Travel,352.88,ATM,57.3,8,3203,1820,1,0,1,1,40.7,0,0
FRD-000046,2024-03-03,South,Brazil,CUST-0410,Deposit,Healthcare,162.56,Desktop,47.2,8,983,5591,7,0,0,1,30.4,0,0
FRD-000047,2024-06-18,West,Canada,CUST-1925,Deposit,Entertainment,761.66,POS,14.7,5,3931,6406,0,0,0,1,24.1,0,0
FRD-000048,2024-09-04,East,USA,CUST-0920,Withdrawal,Restaurant,40.64,Mobile,6.0,38,4201,3646,2,0,0,0,16.3,0,0
FRD-000049,2023-06-23,East,Japan,CUST-1587,Deposit,Utilities,104.69,Mobile,99.5,37,2998,407,6,0,0,0,31.3,0,0
FRD-000050,2022-04-01,Central,Australia,CUST-0095,Withdrawal,Gas Station,710.56,Mobile,29.3,40,2089,7559,4,0,0,0,18.5,0,0
FRD-000051,2023-05-10,South,Germany,CUST-0235,Payment,Healthcare,755.02,ATM,6.0,22,4534,5219,6,0,0,0,16.6,0,0
FRD-000052,2024-09-07,East,UK,CUST-0975,Withdrawal,Retail,350.91,POS,57.4,28,9,1654,4,0,0,0,17.2,0,0
FRD-000053,2024-10-22,North,Japan,CUST-0112,Deposit,Restaurant,54.2,Tablet,32.7,32,1720,796,9,0,0,0,20.6,0,0
FRD-000054,2023-07-01,North,Canada,CUST-1919,Refund,Restaurant,14.87,ATM,20.1,27,4716,2463,8,0,0,0,21.5,0,0
FRD-000055,2022-09-14,East,Australia,CUST-1227,Transfer,Online,261.67,Mobile,41.1,31,2106,994,3,0,0,0,17.8,0,0
FRD-000056,2023-03-23,South,Australia,CUST-0320,Withdrawal,Entertainment,207.69,Tablet,2.9,12,164,567,0,0,1,0,13.1,0,0
FRD-000057,2023-02-01,South,Germany,CUST-0845,Payment,Online,512.34,Desktop,38.6,1,2649,393,3,0,0,0,12.2,0,0
FRD-000058,2023-08-15,West,UK,CUST-1292,Transfer,Healthcare,433.21,POS,22.3,7,707,4110,0,1,0,0,5.8,0,0
FRD-000059,2023-09-21,West,Canada,CUST-0612,Refund,Utilities,240.96,Mobile,77.7,35,2052,4462,0,0,1,1,46.7,0,0
FRD-000060,2024-02-07,South,India,CUST-0088,Refund,Retail,653.33,Desktop,19.2,20,2520,9368,6,0,0,0,15.2,0,0
FRD-000061,2023-04-06,North,Mexico,CUST-0914,Transfer,Utilities,226.09,Mobile,38.3,25,1715,3595,7,0,0,1,33.6,0,0
FRD-000062,2022-02-12,North,France,CUST-1802,Withdrawal,Entertainment,87.16,ATM,88.9,39,4341,804,3,0,0,0,29.9,0,0
FRD-000063,2022-01-06,East,USA,CUST-0099,Purchase,Restaurant,133.27,ATM,18.2,22,1892,1841,5,1,1,0,23.7,0,0
FRD-000064,2024-03-15,North,Canada,CUST-0417,Refund,Entertainment,648.81,ATM,58.5,8,1580,4260,3,0,0,0,15.0,0,0
FRD-000065,2024-10-02,South,Mexico,CUST-0064,Withdrawal,Gas Station,681.85,POS,22.1,9,4438,5212,1,0,0,1,27.5,0,0
FRD-000066,2024-07-27,West,Mexico,CUST-1051,Purchase,Restaurant,608.69,POS,33.6,27,2081,8043,4,1,0,1,31.6,0,0
FRD-000067,2024-02-12,South,Canada,CUST-1289,Purchase,Online,11.06,Tablet,94.9,19,4173,8839,1,0,0,0,25.0,0,0
FRD-000068,2022-11-18,Central,France,CUST-1105,Refund,Gas Station,948.52,ATM,59.8,14,104,7324,2,0,1,1,38.4,0,0
FRD-000069,2023-11-16,Central,India,CUST-0065,Deposit,Travel,260.94,Tablet,8.9,30,4983,38,4,0,0,0,17.8,0,0
FRD-000070,2023-11-03,Central,Japan,CUST-1061,Refund,Online,1043.52,Mobile,2.5,27,2961,9772,0,0,1,0,20.2,0,0
FRD-000071,2022-01-17,Central,Japan,CUST-1312,Transfer,Travel,232.81,Tablet,48.8,30,2724,8468,5,1,0,0,21.2,0,0
FRD-000072,2023-03-23,West,Japan,CUST-1840,Payment,Retail,1979.42,ATM,37.3,18,2813,7775,7,0,1,0,28.7,0,0
FRD-000073,2022-11-26,East,France,CUST-1774,Refund,Restaurant,405.68,POS,69.9,38,4232,4118,6,1,0,0,28.9,0,0
FRD-000074,2023-12-14,East,UK,CUST-1969,Transfer,Restaurant,108.39,Mobile,24.5,41,4273,8561,0,0,0,0,18.3,0,0
FRD-000075,2022-01-23,North,India,CUST-1760,Deposit,Healthcare,400.37,Tablet,40.3,45,1919,5646,1,0,1,0,28.7,0,0
FRD-000076,2022-05-30,Central,USA,CUST-0135,Refund,Entertainment,70.47,Tablet,73.2,26,1357,5823,9,0,0,1,40.0,0,0
FRD-000077,2024-10-07,Central,Australia,CUST-0931,Purchase,Healthcare,27.17,POS,43.9,38,4961,7549,4,1,0,0,24.6,0,0
FRD-000078,2023-03-12,North,Canada,CUST-0327,Refund,Online,55.08,POS,23.6,48,1981,7275,9,0,1,0,32.9,0,0
FRD-000079,2024-02-17,South,UK,CUST-0824,Deposit,Travel,171.18,POS,16.3,37,4665,9633,5,1,0,0,20.6,0,0
FRD-000080,2023-10-04,Central,India,CUST-0308,Deposit,Gas Station,225.63,POS,28.4,35,4805,8737,4,1,0,0,21.5,0,0
FRD-000081,2023-06-07,West,Japan,CUST-1083,Refund,Retail,555.27,POS,58.5,49,576,372,0,0,0,0,19.4,0,0
FRD-000082,2022-09-24,North,Brazil,CUST-0340,Transfer,Restaurant,154.07,Desktop,65.3,2,767,4780,5,0,0,0,15.1,0,0
FRD-000083,2024-03-12,East,Mexico,CUST-1231,Refund,Retail,1469.01,Desktop,27.8,28,1952,10003,2,0,0,0,14.2,0,0
FRD-000084,2023-01-12,West,India,CUST-1938,Purchase,Travel,78.85,POS,32.0,2,318,6878,0,0,0,1,20.7,0,0
FRD-000085,2023-08-09,West,Australia,CUST-0850,Purchase,Restaurant,489.13,ATM,55.8,10,1937,4699,7,0,0,0,18.5,0,0
FRD-000086,2022-08-05,Central,Japan,CUST-1127,Withdrawal,Retail,105.06,Tablet,55.7,37,4085,9262,4,0,1,0,34.9,0,0
FRD-000087,2024-07-29,North,Brazil,CUST-0357,Deposit,Restaurant,8.69,Desktop,63.4,6,4584,2638,3,1,0,0,19.8,0,0
FRD-000088,2023-06-06,East,Mexico,CUST-1334,Purchase,Utilities,527.46,Desktop,37.5,42,4995,3720,4,1,0,0,24.5,0,0
FRD-000089,2023-01-12,East,Australia,CUST-1783,Refund,Retail,167.62,Mobile,2.1,26,2616,7216,7,0,1,0,24.7,0,0
FRD-000090,2022-05-06,South,Brazil,CUST-1578,Refund,Gas Station,51.19,Desktop,93.6,26,1447,10028,1,1,0,0,22.2,0,0
FRD-000091,2023-01-18,North,France,CUST-0607,Transfer,Gas Station,694.29,Tablet,59.6,4,1095,3299,8,0,0,0,17.4,0,0
FRD-000092,2022-11-03,West,Brazil,CUST-1706,Payment,Healthcare,448.99,POS,60.1,31,2482,2163,8,1,1,1,49.9,0,0
FRD-000093,2023-03-25,Central,Canada,CUST-0613,Purchase,Gas Station,13.05,Mobile,72.8,40,3623,5027,6,0,0,0,28.9,0,0
FRD-000094,2023-03-30,West,Brazil,CUST-1726,Refund,Travel,21.56,ATM,95.7,9,1394,7714,3,1,1,0,30.5,0,0
FRD-000095,2023-09-23,North,France,CUST-1079,Transfer,Entertainment,13.31,POS,33.7,18,1846,7909,0,0,0,1,26.4,0,0
FRD-000096,2023-11-09,South,Canada,CUST-0669,Refund,Travel,49.79,Mobile,26.4,39,1993,5175,7,0,0,0,20.0,0,0
FRD-000097,2022-07-15,East,Germany,CUST-1541,Purchase,Healthcare,827.26,Desktop,93.6,33,4692,9247,2,0,0,1,44.2,0,0
FRD-000098,2022-05-23,Central,USA,CUST-1939,Refund,Online,174.42,ATM,38.2,13,2944,4378,2,0,0,0,14.2,0,0
FRD-000099,2022-02-01,East,India,CUST-0062,Withdrawal,Utilities,502.41,ATM,42.8,40,2234,9805,4,0,0,0,20.8,0,0
FRD-000100,2022-03-07,South,Mexico,CUST-1353,Deposit,Entertainment,8.17,Mobile,95.4,25,2933,153,8,0,1,0,39.7,0,0
FRD-000101,2022-03-23,West,Germany,CUST-1743,Withdrawal,Utilities,104.15,ATM,76.1,27,1762,4933,4,1,0,0,22.5,1,0
FRD-000102,2024-05-13,East,Mexico,CUST-0040,Deposit,Travel,788.33,Tablet,41.7,36,1372,8902,2,1,0,0,17.0,0,0
FRD-000103,2022-04-06,North,Japan,CUST-0938,Refund,Gas Station,639.32,Tablet,30.5,27,2375,1501,1,0,0,0,14.3,0,0
FRD-000104,2023-12-31,North,Australia,CUST-0302,Refund,Restaurant,293.89,Tablet,13.4,44,4262,1273,0,0,1,1,42.2,0,0
FRD-000105,2023-05-16,South,Australia,CUST-1058,Deposit,Healthcare,853.35,Mobile,44.9,10,941,8424,0,0,0,0,10.1,0,0
FRD-000106,2022-01-12,East,Mexico,CUST-1040,Payment,Retail,6.73,Desktop,88.1,34,4960,4623,7,1,1,0,42.7,0,0
FRD-000107,2024-04-27,West,Germany,CUST-1352,Withdrawal,Travel,210.09,ATM,91.8,8,1688,8798,4,0,0,0,20.9,0,0
FRD-000108,2024-11-11,Central,Japan,CUST-1187,Purchase,Healthcare,60.71,POS,62.8,8,2116,2997,5,0,0,0,17.9,0,0
FRD-000109,2023-06-03,Central,Mexico,CUST-1979,Deposit,Online,1081.46,ATM,20.5,8,2718,4988,3,0,0,0,11.0,0,0
FRD-000110,2023-05-13,West,UK,CUST-0695,Deposit,Healthcare,1038.08,ATM,66.6,44,2693,1677,1,1,0,0,23.6,0,0
FRD-000111,2022-01-29,East,Japan,CUST-1949,Transfer,Utilities,16.43,POS,87.2,33,2162,7932,1,1,0,0,23.7,0,0
FRD-000112,2022-11-07,Central,Mexico,CUST-1158,Refund,Healthcare,705.9,ATM,92.4,38,3539,2518,9,0,0,0,33.5,0,0
FRD-000113,2022-08-27,South,Germany,CUST-0377,Refund,Gas Station,199.79,Mobile,65.7,19,4548,9849,8,0,0,0,26.5,0,0
FRD-000114,2022-07-01,Central,France,CUST-1314,Deposit,Online,208.6,Mobile,27.5,33,4384,2668,6,0,1,0,31.8,0,0
FRD-000115,2024-02-26,Central,France,CUST-1325,Refund,Online,547.64,ATM,72.1,40,1728,2380,3,0,0,1,38.7,0,0
FRD-000116,2024-03-15,Central,India,CUST-0957,Deposit,Utilities,254.16,ATM,49.0,1,2878,6899,1,0,1,0,22.6,0,0
FRD-000117,2024-06-28,South,Brazil,CUST-1293,Payment,Utilities,589.26,Tablet,93.6,28,4068,5564,5,0,0,0,29.5,0,0
FRD-000118,2023-03-27,North,UK,CUST-0565,Transfer,Healthcare,442.67,ATM,63.0,6,1243,4907,1,0,0,0,13.3,0,0
FRD-000119,2022-10-06,South,Japan,CUST-0182,Refund,Restaurant,880.12,ATM,5.6,39,2998,9949,1,0,1,0,23.9,0,0
FRD-000120,2022-01-14,South,Germany,CUST-0155,Deposit,Entertainment,58.58,Tablet,67.4,21,4263,11,6,0,0,1,40.2,0,0
FRD-000121,2023-07-31,North,Japan,CUST-0859,Purchase,Entertainment,418.59,ATM,48.4,46,3462,5779,8,0,1,1,52.7,0,1
FRD-000122,2023-11-17,East,USA,CUST-1106,Deposit,Utilities,63.18,Tablet,66.3,15,4190,2513,1,1,1,1,45.0,0,0
FRD-000123,2024-07-23,West,Canada,CUST-0005,Withdrawal,Entertainment,93.16,ATM,13.7,41,1355,6790,4,0,0,1,30.3,0,0
FRD-000124,2023-11-16,South,India,CUST-0867,Deposit,Travel,794.08,Tablet,95.0,19,3363,759,5,0,1,0,36.8,0,0
FRD-000125,2024-07-12,South,Mexico,CUST-1920,Withdrawal,Restaurant,660.46,Mobile,68.8,26,4368,1544,5,1,0,1,40.8,0,0
FRD-000126,2023-10-25,West,UK,CUST-1214,Deposit,Online,83.62,POS,38.0,18,3031,6213,5,0,0,0,17.6,1,0
FRD-000127,2023-01-17,South,India,CUST-1404,Refund,Online,281.4,POS,67.7,11,3916,4242,0,0,0,0,18.2,0,0
FRD-000128,2022-06-29,West,Japan,CUST-0231,Withdrawal,Gas Station,428.89,Tablet,52.4,37,1151,1960,4,0,0,0,20.0,0,0
FRD-000129,2022-12-17,Central,France,CUST-1473,Payment,Retail,210.16,Mobile,94.2,27,100,4253,0,0,0,1,34.7,0,0
FRD-000130,2024-05-17,South,Mexico,CUST-1229,Refund,Utilities,209.84,ATM,5.3,41,1250,6724,9,0,0,0,17.6,0,0
FRD-000131,2023-10-01,Central,India,CUST-1812,Purchase,Utilities,219.65,Mobile,31.9,12,494,7488,1,0,0,0,8.7,0,0
FRD-000132,2022-12-10,South,Germany,CUST-1832,Deposit,Retail,565.05,Tablet,23.1,19,4052,2325,3,1,0,0,15.6,0,0
FRD-000133,2024-03-20,Central,Brazil,CUST-0789,Withdrawal,Restaurant,78.47,Mobile,13.1,44,3432,4169,1,0,0,1,31.7,0,0
FRD-000134,2022-04-06,North,Canada,CUST-1759,Transfer,Healthcare,317.7,ATM,59.7,2,3913,3194,3,1,0,0,17.5,0,0
FRD-000135,2023-04-18,North,Japan,CUST-0226,Refund,Online,592.87,POS,52.1,47,1075,7011,7,1,0,0,24.1,0,0
FRD-000136,2023-05-08,West,India,CUST-0352,Refund,Healthcare,643.3,POS,62.9,1,789,5330,6,0,0,0,15.3,0,0
FRD-000137,2024-05-08,South,Brazil,CUST-1639,Transfer,Healthcare,101.64,Mobile,50.8,7,924,4309,2,0,0,0,11.9,0,0
FRD-000138,2023-01-02,South,UK,CUST-0968,Deposit,Online,69.84,Mobile,77.8,16,2768,3525,6,0,0,0,23.5,0,0
FRD-000139,2022-01-18,Central,Japan,CUST-0832,Purchase,Retail,1041.03,Desktop,79.5,14,905,4286,1,1,0,0,16.8,0,0
FRD-000140,2022-10-17,West,USA,CUST-0803,Transfer,Travel,220.41,POS,27.1,8,486,8038,4,0,0,0,9.4,0,0
FRD-000141,2024-07-26,South,Mexico,CUST-0272,Refund,Healthcare,185.7,Mobile,98.6,33,898,4,5,0,0,0,26.5,0,0
FRD-000142,2024-01-28,West,Canada,CUST-0032,Purchase,Retail,710.1,Tablet,93.9,48,472,2262,5,0,0,1,43.1,0,0
FRD-000143,2023-12-26,South,France,CUST-1142,Payment,Travel,366.56,Mobile,28.6,21,2960,1971,6,0,0,0,17.4,0,0
FRD-000144,2024-12-02,East,Canada,CUST-0068,Purchase,Gas Station,451.53,Mobile,63.2,25,3470,9804,0,0,0,0,19.7,0,0
FRD-000145,2023-01-18,South,Mexico,CUST-1087,Purchase,Retail,383.03,Desktop,53.4,32,1568,3739,1,0,1,1,42.5,0,0
FRD-000146,2022-06-09,North,UK,CUST-0274,Withdrawal,Retail,590.84,Tablet,96.8,3,4775,616,8,0,0,0,28.3,0,0
FRD-000147,2023-06-08,South,India,CUST-1722,Refund,Gas Station,49.23,Desktop,79.7,7,4654,8003,8,0,1,0,36.3,0,0
FRD-000148,2024-08-04,West,Canada,CUST-0035,Refund,Utilities,345.45,Tablet,52.8,44,985,4071,8,0,0,0,24.2,0,0
FRD-000149,2024-08-06,West,USA,CUST-0492,Purchase,Gas Station,226.33,POS,71.9,45,3697,9671,7,0,0,0,30.6,0,0
FRD-000150,2022-02-20,East,Canada,CUST-1280,Withdrawal,Entertainment,144.12,POS,75.5,17,4193,620,3,0,0,0,23.3,0,0
FRD-000151,2022-09-16,North,Canada,CUST-0246,Refund,Online,28.01,ATM,25.9,29,1855,1750,8,0,1,0,28.5,1,0
FRD-000152,2022-01-03,Central,Germany,CUST-0935,Refund,Healthcare,934.88,Tablet,53.0,5,752,7598,7,0,0,0,15.3,0,0
FRD-000153,2024-06-30,South,Australia,CUST-0117,Refund,Utilities,270.84,Mobile,62.7,28,4469,7650,1,1,0,0,22.5,0,0
FRD-000154,2022-08-23,South,Australia,CUST-1302,Payment,Gas Station,1504.36,POS,24.3,34,3871,4755,3,1,0,0,18.5,0,0
FRD-000155,2022-07-06,Central,Germany,CUST-1552,Withdrawal,Gas Station,220.82,POS,44.2,44,4595,7030,7,0,0,0,27.6,0,0
FRD-000156,2023-12-07,East,India,CUST-1648,Transfer,Utilities,752.82,POS,51.1,5,1457,267,4,1,0,0,13.9,0,0
FRD-000157,2022-11-28,East,Australia,CUST-0359,Refund,Online,219.7,Mobile,64.5,23,4485,5674,9,0,0,0,27.8,0,0
FRD-000158,2023-04-08,South,Mexico,CUST-1890,Purchase,Healthcare,903.03,Tablet,26.0,11,3635,10023,4,0,1,0,24.6,0,0
FRD-000159,2022-01-13,North,Australia,CUST-0863,Purchase,Restaurant,682.45,ATM,77.1,12,603,1871,3,0,1,0,27.1,0,0
FRD-000160,2023-01-06,South,India,CUST-0399,Deposit,Online,20.27,Mobile,12.8,28,1427,6501,0,0,0,0,9.7,0,0
FRD-000161,2023-01-23,West,Japan,CUST-1378,Transfer,Entertainment,365.9,ATM,33.5,6,1409,1871,1,0,0,0,9.1,0,0
FRD-000162,2024-06-02,Central,Canada,CUST-1846,Refund,Restaurant,83.61,Tablet,43.9,9,260,6952,0,1,0,0,8.8,0,0
FRD-000163,2022-12-11,North,Japan,CUST-1808,Refund,Retail,800.38,POS,53.7,49,495,7848,9,1,0,0,25.3,0,0
FRD-000164,2022-07-22,North,Germany,CUST-0542,Transfer,Online,1215.16,Tablet,33.5,11,2579,7472,6,1,0,0,15.6,0,0
FRD-000165,2022-12-17,East,Germany,CUST-0575,Payment,Retail,172.57,Tablet,16.7,12,1801,559,9,0,0,0,14.4,0,0
FRD-000166,2022-05-19,West,France,CUST-0552,Purchase,Utilities,365.24,Tablet,87.0,29,2546,2683,4,1,0,0,25.7,0,0
FRD-000167,2023-12-24,East,India,CUST-0448,Payment,Retail,563.93,Mobile,69.9,35,3672,3158,7,0,0,0,28.2,0,0
FRD-000168,2024-12-10,South,UK,CUST-0668,Transfer,Travel,1020.87,POS,68.2,14,3418,9659,3,0,1,0,30.4,0,0
FRD-000169,2022-09-12,West,USA,CUST-1645,Payment,Entertainment,292.81,Mobile,37.8,44,1586,7800,0,1,0,0,16.8,0,0
FRD-000170,2024-12-05,South,Mexico,CUST-1219,Transfer,Travel,1270.76,ATM,53.7,37,1539,2179,1,0,0,0,18.5,1,0
FRD-000171,2024-09-28,South,USA,CUST-0782,Payment,Retail,923.77,ATM,70.3,44,3610,7909,2,1,1,0,36.3,0,0
FRD-000172,2022-01-09,South,Canada,CUST-1291,Refund,Healthcare,756.48,Desktop,25.0,34,3039,3296,7,0,1,0,30.4,0,0
FRD-000173,2024-01-20,East,Mexico,CUST-1334,Transfer,Entertainment,78.01,POS,42.5,4,2841,1843,7,0,0,0,16.7,0,0
FRD-000174,2022-07-13,East,USA,CUST-0377,Withdrawal,Restaurant,396.4,POS,78.5,10,1608,1650,7,0,0,0,21.4,0,0
FRD-000175,2024-06-07,Central,Brazil,CUST-1315,Refund,Online,612.82,ATM,42.7,12,4520,2005,1,0,0,0,16.3,0,0
FRD-000176,2022-08-06,West,Japan,CUST-0519,Deposit,Entertainment,5.47,Mobile,81.9,24,4888,8783,3,0,0,0,26.7,0,0
FRD-000177,2022-08-18,North,Japan,CUST-0685,Payment,Entertainment,646.42,Tablet,50.9,1,417,5975,2,0,0,0,10.0,0,0
FRD-000178,2024-10-27,East,Australia,CUST-1069,Payment,Healthcare,291.01,Mobile,13.0,29,4919,4045,3,1,1,1,42.4,0,0
FRD-000179,2024-06-13,East,Japan,CUST-1394,Refund,Retail,905.39,POS,10.3,40,651,4676,7,1,0,0,15.8,1,0
FRD-000180,2023-03-10,West,Australia,CUST-1683,Deposit,Gas Station,508.62,Tablet,28.7,39,876,9237,7,1,0,0,18.7,0,0
FRD-000181,2024-01-31,South,Australia,CUST-1793,Purchase,Travel,22.72,Tablet,34.0,9,3043,3984,4,0,1,0,24.5,0,0
FRD-000182,2023-11-12,Central,Brazil,CUST-0993,Refund,Restaurant,202.3,Desktop,64.9,16,1803,7467,1,0,0,0,16.4,0,0
FRD-000183,2022-06-17,West,USA,CUST-1844,Transfer,Gas Station,15.83,ATM,10.6,4,2960,8428,3,0,0,0,9.1,0,0
FRD-000184,2023-10-03,South,Brazil,CUST-0013,Refund,Entertainment,3.96,Mobile,31.2,22,967,52,3,0,0,0,12.8,0,0
FRD-000185,2024-08-07,South,Australia,CUST-0167,Withdrawal,Healthcare,1953.21,Desktop,18.1,14,247,908,4,0,0,0,8.9,0,0
FRD-000186,2024-08-21,East,Brazil,CUST-0366,Deposit,Utilities,152.15,Mobile,29.7,38,1905,2190,2,1,0,0,16.4,0,0
FRD-000187,2022-12-09,South,Japan,CUST-0023,Refund,Entertainment,86.24,Mobile,38.1,27,836,4221,5,0,0,0,16.1,0,0
FRD-000188,2022-07-12,North,Japan,CUST-1507,Transfer,Utilities,1030.01,POS,21.3,21,4794,5508,7,0,0,0,19.8,0,0
