employee_id,department,region,job_title,hire_date,gender,ethnicity,age,education,salary,performance_rating,satisfaction_score,engagement_score,training_hours,promotion_last_3_years,employment_status,time_to_hire_days,turnover_risk,tenure_years
EMP-00015,Customer Support,South,Analyst,2019-07-25,Female,Hispanic,35,High School,85349.37,3.6,2.3,47.0,192,0,On Leave,54,0.71,5.4
EMP-00016,Customer Support,South,Engineer,2018-01-27,Male,White,30,Associate,105597.25,3.2,3.8,53.0,101,0,Active,115,0.61,6.9
EMP-00017,Sales,South,Director,2016-05-13,Male,Hispanic,51,Bachelor,97749.74,4.4,2.3,38.0,149,1,On Leave,88,0.3,8.6
EMP-00018,Customer Support,Central,Engineer,2022-08-17,Female,White,33,Master,51827.79,1.6,2.4,99.0,124,0,Active,48,0.61,2.4
EMP-00019,HR,South,Coordinator,2020-10-23,Male,Hispanic,31,Bachelor,138865.93,4.5,1.9,77.0,193,0,Active,70,0.59,4.2
EMP-00020,HR,East,Senior Engineer,2020-03-26,Male,White,45,Master,60874.07,1.3,4.6,83.0,85,0,On Leave,77,0.15,4.8
EMP-00021,Customer Support,East,Manager,2020-07-22,Female,Hispanic,55,Master,178948.97,4.0,3.2,25.0,3,0,Active,86,0.88,4.4
EMP-00022,Operations,East,Manager,2019-01-20,Female,Hispanic,33,Bachelor,177522.22,1.8,1.6,39.0,113,0,Active,88,0.53,6.0
EMP-00023,Customer Support,East,Analyst,2020-10-19,Male,Asian,47,Bachelor,51582.01,4.6,3.3,12.0,103,0,Active,118,0.09,4.2
EMP-00024,Sales,West,Director,2023-07-06,Female,Hispanic,53,Master,106095.84,1.2,1.6,100.0,6,0,Terminated,46,0.39,1.5
EMP-00025,Customer Support,East,Senior Engineer,2015-06-28,Female,Black,56,Bachelor,116301.02,3.3,2.1,27.0,199,1,On Leave,46,0.22,9.5
EMP-00026,Finance,Central,Analyst,2024-11-29,Female,Asian,34,Bachelor,199338.9,1.1,3.8,11.0,154,1,Active,104,0.17,0.1
EMP-00027,Sales,West,Senior Analyst,2023-02-02,Female,White,40,Bachelor,80201.46,3.9,4.0,21.0,172,1,Active,31,0.95,1.9
EMP-00028,HR,South,Senior Analyst,2017-07-08,Male,Hispanic,34,Associate,141752.04,1.1,2.7,58.0,98,0,Terminated,24,0.67,7.5
EMP-00029,Customer Support,East,Coordinator,2015-07-12,Male,Hispanic,43,High School,113134.17,3.9,1.7,34.0,188,0,On Leave,75,0.3,9.5
EMP-00030,Marketing,South,Senior Analyst,2018-02-12,Male,White,44,Master,162974.91,4.2,1.8,17.0,101,0,Active,60,0.68,6.9
EMP-00031,Finance,East,Director,2019-09-17,Male,Other,22,Master,79750.0,4.6,3.2,47.0,166,0,Active,107,0.8,5.3
EMP-00032,Customer Support,East,Coordinator,2020-12-20,Female,White,29,Associate,148947.39,2.4,3.4,67.0,92,0,Terminated,74,0.32,4.0
EMP-00033,Customer Support,West,Engineer,2020-01-13,Male,White,60,Master,60782.63,3.2,4.5,67.0,4,0,Active,93,0.98,5.0
EMP-00034,HR,East,Manager,2018-07-19,Female,White,55,High School,42420.33,3.9,2.1,2.0,81,1,Active,69,0.88,6.5
EMP-00035,Marketing,East,Analyst,2015-01-22,Male,White,34,Bachelor,42915.67,4.3,3.4,76.0,89,0,Terminated,37,0.8,9.9
EMP-00036,Marketing,North,Specialist,2019-05-25,Male,White,62,Associate,118830.35,4.1,1.0,25.0,54,0,Active,78,0.72,5.6
EMP-00037,Customer Support,Central,Specialist,2017-03-08,Non-Binary,White,31,Master,163317.21,4.4,2.9,92.0,1,0,Active,88,0.04,7.8
EMP-00038,Operations,Central,Senior Manager,2018-10-02,Male,White,24,Associate,132420.35,4.6,2.6,15.0,94,0,Active,19,0.02,6.3
EMP-00039,Finance,South,Director,2015-12-02,Male,Hispanic,49,Bachelor,45811.68,3.6,1.5,41.0,152,1,Active,89,0.16,9.1
EMP-00040,HR,South,Senior Manager,2024-11-13,Female,White,48,Master,128332.41,1.7,4.6,32.0,88,0,Terminated,39,0.92,0.1
EMP-00041,Engineering,West,Senior Engineer,2021-05-31,Female,Black,42,Bachelor,58120.62,4.3,1.4,50.0,159,0,Active,96,0.22,3.6
EMP-00042,Marketing,South,Analyst,2024-01-22,Male,White,32,Bachelor,194463.76,2.9,2.1,32.0,185,0,Active,78,0.7,0.9
EMP-00043,Customer Support,North,Senior Manager,2015-04-14,Female,Asian,45,Master,96411.7,1.2,3.9,77.0,21,0,On Leave,111,0.98,9.7
EMP-00044,Operations,South,Senior Manager,2023-04-09,Male,Mixed,33,Bachelor,120546.37,3.5,1.7,39.0,179,0,Active,67,0.94,1.7
EMP-00045,Sales,East,Manager,2017-07-13,Female,Black,28,Bachelor,94198.21,3.9,1.3,36.0,188,1,On Leave,75,0.4,7.5
EMP-00046,Engineering,South,Senior Manager,2022-09-25,Male,Hispanic,63,Master,114734.94,2.8,4.9,97.0,20,0,Active,97,0.68,2.3
EMP-00047,R&D,South,Engineer,2019-10-02,Female,Black,53,Bachelor,193353.74,3.0,2.2,41.0,189,0,Active,25,0.76,5.3
EMP-00048,Operations,East,Director,2015-11-01,Male,White,31,Master,81684.27,3.2,1.2,14.0,14,1,On Leave,37,0.55,9.2
EMP-00049,R&D,North,Manager,2017-10-20,Female,White,49,Master,154893.08,2.0,1.6,28.0,10,1,Terminated,109,0.52,7.2
EMP-00050,R&D,Central,VP,2017-03-17,Female,Hispanic,47,Bachelor,160845.97,2.5,1.9,73.0,45,0,On Leave,110,0.22,7.8
EMP-00051,Sales,North,Coordinator,2016-11-04,Female,White,50,Associate,70497.61,4.2,4.8,27.0,70,1,Active,52,0.68,8.2
EMP-00052,Finance,North,Specialist,2018-09-10,Female,Mixed,48,Master,156663.67,1.1,1.1,68.0,126,0,On Leave,87,0.29,6.3
EMP-00053,Operations,West,Manager,2018-06-27,Male,Other,31,Bachelor,143679.12,3.2,4.2,92.0,157,0,Active,35,0.31,6.5
EMP-00054,Customer Support,West,Senior Analyst,2015-09-15,Female,White,25,Bachelor,86566.75,1.1,4.1,38.0,141,0,Active,61,0.27,9.3
EMP-00055,Marketing,East,Specialist,2022-01-08,Female,Black,63,High School,123630.12,1.8,3.0,20.0,39,1,Active,118,0.07,3.0
EMP-00056,Marketing,West,Director,2022-01-05,Male,Black,43,Master,134397.39,2.5,4.7,72.0,118,0,Active,91,0.84,3.0
EMP-00057,Finance,Central,Coordinator,2016-02-01,Female,Asian,31,Bachelor,173848.66,1.7,1.1,44.0,69,0,Active,17,0.86,8.9
EMP-00058,Marketing,East,Director,2015-04-25,Male,Hispanic,25,Bachelor,59972.25,4.4,3.0,6.0,177,0,On Leave,42,0.72,9.7
EMP-00059,Operations,West,Engineer,2020-05-19,Female,Hispanic,28,Master,195516.18,4.5,2.0,58.0,45,0,On Leave,19,0.93,4.6
EMP-00060,Engineering,South,Senior Analyst,2019-11-05,Female,Hispanic,44,Associate,163065.19,1.6,4.0,58.0,71,0,Active,60,0.63,5.2
EMP-00061,Operations,West,Coordinator,2024-01-23,Male,White,24,High School,125596.19,4.6,1.7,68.0,35,1,Terminated,68,0.64,0.9
EMP-00062,Engineering,Central,Director,2015-04-09,Female,Mixed,45,Bachelor,164196.54,1.9,4.5,74.0,55,1,Active,117,0.89,9.7
EMP-00063,Operations,West,Senior Engineer,2021-08-24,Male,White,58,Bachelor,157305.77,1.0,2.6,65.0,139,0,Active,119,0.21,3.4
EMP-00064,Finance,East,Senior Engineer,2023-12-10,Male,White,51,Bachelor,113620.73,3.9,1.5,34.0,196,0,Active,116,0.44,1.1
EMP-00065,Operations,South,Coordinator,2022-01-09,Male,White,62,Bachelor,93768.22,3.1,1.1,84.0,76,0,Terminated,68,0.7,3.0
EMP-00066,Customer Support,East,Engineer,2018-10-01,Male,White,33,Bachelor,198176.44,3.0,3.8,94.0,18,0,Active,62,0.27,6.3
EMP-00067,HR,South,Director,2024-06-04,Female,Black,42,Associate,181501.02,1.0,4.7,31.0,149,0,Terminated,38,0.23,0.6
EMP-00068,Customer Support,South,Senior Manager,2017-10-22,Female,White,64,Bachelor,192147.34,4.9,4.9,29.0,11,0,On Leave,58,0.9,7.2
EMP-00069,Marketing,Central,Senior Analyst,2017-10-09,Male,Black,38,Master,47755.42,4.3,4.5,52.0,31,1,Terminated,21,1.0,7.2
EMP-00070,Operations,North,Senior Analyst,2016-03-17,Male,White,24,Bachelor,170436.14,4.9,2.6,99.0,37,0,Active,24,0.39,8.8
EMP-00071,Operations,Central,Manager,2020-04-23,Male,White,36,Master,182596.41,2.0,4.6,17.0,188,0,On Leave,14,0.24,4.7
EMP-00072,Customer Support,North,Manager,2017-09-03,Female,White,57,Associate,116302.8,3.4,3.6,50.0,37,0,Terminated,83,0.4,7.3
EMP-00073,Engineering,North,Engineer,2018-10-27,Female,Asian,53,Bachelor,182549.64,4.0,1.3,20.0,79,0,Active,115,0.3,6.2
EMP-00074,Sales,Central,VP,2024-05-02,Female,Hispanic,30,Master,56140.53,4.2,1.7,42.0,11,0,Active,41,0.82,0.7
EMP-00075,Marketing,West,Analyst,2015-08-11,Female,White,61,Bachelor,49675.92,4.1,2.5,39.0,100,0,Terminated,109,0.9,9.4
EMP-00076,R&D,Central,VP,2024-03-19,Male,Black,43,Bachelor,86649.39,3.3,2.2,58.0,45,0,Active,22,0.39,0.8
EMP-00077,Engineering,East,Director,2018-09-28,Female,Mixed,57,Associate,44198.8,1.1,2.3,4.0,79,1,Active,111,0.6,6.3
EMP-00078,Engineering,East,VP,2020-10-29,Female,White,53,Master,149438.21,5.0,3.9,81.0,68,0,Active,62,0.08,4.2
EMP-00079,Customer Support,East,Senior Engineer,2023-11-27,Male,Black,26,Associate,188315.09,1.5,1.2,71.0,199,0,On Leave,79,0.46,1.1
EMP-00080,Engineering,East,Analyst,2017-08-27,Male,Mixed,62,PhD,87209.08,1.7,3.4,100.0,70,0,Active,35,0.01,7.4
EMP-00081,HR,North,VP,2015-10-26,Female,White,25,Bachelor,145536.77,4.3,2.3,26.0,25,0,On Leave,52,0.67,9.2
EMP-00082,Finance,North,Senior Manager,2023-09-13,Female,Hispanic,26,PhD,114887.77,1.4,4.5,87.0,76,0,Active,36,0.18,1.3
EMP-00083,HR,Central,Specialist,2021-09-23,Male,White,28,High School,80809.15,1.9,1.2,61.0,45,0,On Leave,74,0.88,3.3
EMP-00084,R&D,South,Coordinator,2021-12-12,Female,Asian,32,Bachelor,186970.0,1.1,4.9,24.0,144,1,On Leave,80,0.63,3.1
EMP-00085,Customer Support,South,Senior Engineer,2019-12-02,Female,White,60,Bachelor,193266.0,1.6,1.3,30.0,125,0,On Leave,56,0.93,5.1
EMP-00086,Customer Support,North,Engineer,2023-07-27,Female,Other,27,Bachelor,61560.76,3.6,2.7,3.0,134,1,Active,58,0.94,1.4
EMP-00087,Operations,West,Manager,2016-01-27,Female,Hispanic,50,Bachelor,162715.53,2.4,4.4,35.0,105,0,Active,93,0.17,8.9
EMP-00088,Sales,North,Specialist,2022-01-05,Male,White,38,Bachelor,70210.7,1.5,2.3,90.0,63,0,Active,54,0.51,3.0
EMP-00089,Sales,West,Manager,2020-01-03,Female,Hispanic,49,Associate,118115.73,2.1,4.4,8.0,118,0,Active,107,0.2,5.0
EMP-00090,Finance,South,VP,2021-06-29,Male,Mixed,59,Bachelor,97757.44,4.0,4.9,93.0,108,1,On Leave,32,0.45,3.5
EMP-00091,Operations,North,Senior Analyst,2016-05-26,Male,White,40,Bachelor,79038.17,3.2,1.5,39.0,124,1,Terminated,57,0.45,8.6
EMP-00092,Finance,Central,Senior Engineer,2015-12-17,Female,Mixed,33,Bachelor,148129.43,2.9,2.9,74.0,169,0,On Leave,39,0.74,9.0
EMP-00093,R&D,East,Analyst,2015-09-06,Male,White,59,Bachelor,176863.39,1.2,1.9,66.0,118,0,Active,29,0.98,9.3
EMP-00094,Engineering,South,Analyst,2015-05-17,Female,White,40,Bachelor,164987.19,3.0,4.1,68.0,52,0,Active,35,0.63,9.6
EMP-00095,R&D,North,Senior Engineer,2019-03-26,Male,White,54,Master,155565.4,2.9,1.4,55.0,141,0,Active,19,0.82,5.8
EMP-00096,R&D,North,Specialist,2018-07-07,Female,Asian,26,High School,50601.14,2.8,4.1,47.0,36,0,Active,50,0.4,6.5
EMP-00097,Sales,East,Coordinator,2024-12-24,Male,Other,22,High School,55588.3,2.9,3.7,93.0,12,0,Terminated,82,0.07,0.0
EMP-00098,Engineering,South,Specialist,2024-07-04,Female,Asian,56,Bachelor,114372.74,1.3,3.5,68.0,71,1,Active,91,0.51,0.5
EMP-00099,Finance,Central,Senior Engineer,2022-10-11,Male,White,56,PhD,128922.08,4.7,2.7,62.0,51,1,Active,37,0.9,2.2
EMP-00100,Sales,Central,Coordinator,2015-09-24,Female,Mixed,52,Bachelor,155741.8,2.2,3.0,42.0,160,0,On Leave,91,0.24,9.3
EMP-00101,Engineering,Central,Senior Engineer,2023-10-11,Male,White,57,High School,96936.93,3.6,1.4,23.0,100,1,On Leave,86,0.26,1.2
EMP-00102,Marketing,South,Senior Manager,2016-06-06,Male,White,61,Bachelor,43668.18,2.4,2.1,1.0,147,0,Active,53,0.1,8.6
EMP-00103,Operations,Central,Senior Engineer,2015-09-11,Male,White,56,Bachelor,45776.22,2.3,4.7,98.0,67,0,Active,88,1.0,9.3
EMP-00104,Marketing,West,Engineer,2023-12-31,Non-Binary,Other,61,Master,176772.89,3.9,2.8,76.0,128,0,Active,23,0.41,1.0
EMP-00105,Engineering,North,Specialist,2019-12-16,Female,Hispanic,33,Associate,60568.42,2.7,2.6,99.0,188,0,Active,44,0.3,5.0
EMP-00106,R&D,West,Coordinator,2015-08-13,Male,White,39,Master,189903.01,3.5,1.2,77.0,181,1,On Leave,64,0.93,9.4
EMP-00107,HR,South,Senior Engineer,2018-05-19,Female,Hispanic,49,Master,93220.48,2.1,4.5,6.0,110,1,On Leave,67,0.81,6.6
EMP-00108,Engineering,Central,Coordinator,2021-11-06,Female,White,34,Bachelor,133384.49,2.1,4.0,45.0,74,0,Active,102,0.88,3.2
EMP-00109,Sales,Central,Senior Analyst,2022-01-08,Female,White,51,Associate,66978.91,1.8,1.4,13.0,164,0,On Leave,66,0.95,3.0
EMP-00110,Finance,Central,Senior Engineer,2019-11-04,Male,White,61,Bachelor,112646.0,2.2,1.6,80.0,194,0,Active,33,0.86,5.2
EMP-00111,Engineering,East,Senior Engineer,2015-09-27,Female,White,38,Master,180129.49,1.3,1.5,19.0,80,0,Active,44,0.99,9.3
EMP-00112,Sales,East,Coordinator,2016-02-22,Male,White,30,Bachelor,197461.24,1.3,3.6,66.0,39,0,Active,29,0.64,8.9
EMP-00113,Sales,Central,Coordinator,2022-08-07,Male,Hispanic,60,Master,162646.85,4.4,1.6,66.0,147,0,Active,114,0.24,2.4
EMP-00114,Marketing,North,Specialist,2015-08-17,Female,White,43,High School,162338.81,2.1,5.0,64.0,34,0,Active,83,0.17,9.4
EMP-00115,Engineering,East,Manager,2021-04-09,Male,Black,36,Bachelor,181650.0,3.2,3.3,88.0,167,0,Active,56,0.6,3.7
EMP-00116,Operations,South,Senior Engineer,2015-08-02,Female,Hispanic,50,PhD,79182.91,3.0,4.5,73.0,78,1,Active,24,0.36,9.4
EMP-00117,R&D,Central,Senior Engineer,2018-04-22,Female,Black,37,Bachelor,157802.67,3.5,3.9,33.0,140,0,Active,61,0.13,6.7
EMP-00118,R&D,North,Coordinator,2024-07-13,Female,White,41,Bachelor,129333.83,3.6,1.1,32.0,89,0,Terminated,53,0.8,0.5
EMP-00119,HR,East,Senior Manager,2019-04-12,Female,White,46,Associate,81869.17,2.5,2.7,3.0,150,0,Terminated,32,0.35,5.7
EMP-00120,HR,South,Director,2019-07-04,Female,White,61,Master,48875.64,1.5,2.4,91.0,12,0,On Leave,78,0.45,5.5
EMP-00121,Finance,East,Senior Analyst,2016-01-28,Female,White,45,Bachelor,72131.27,1.7,4.8,11.0,47,0,On Leave,71,0.61,8.9
EMP-00122,Finance,South,VP,2021-12-03,Male,Black,37,Master,144030.42,2.4,2.4,48.0,49,1,Active,40,0.4,3.1
EMP-00123,Marketing,Central,Coordinator,2023-06-08,Female,Black,37,Master,131175.6,3.2,3.7,51.0,108,1,Terminated,98,0.87,1.6
EMP-00124,Engineering,North,Specialist,2019-08-11,Female,White,46,Associate,51083.34,3.5,3.4,45.0,77,0,Terminated,54,0.98,5.4
EMP-00125,Finance,West,Manager,2017-08-12,Male,Hispanic,22,Bachelor,129969.89,4.7,3.9,58.0,51,0,On Leave,27,0.39,7.4
EMP-00126,Engineering,East,VP,2024-09-11,Female,White,54,Bachelor,102503.89,2.2,1.2,73.0,97,0,Active,97,0.18,0.3
EMP-00127,Operations,North,Senior Engineer,2021-09-21,Male,Black,28,Associate,42389.07,1.4,4.7,20.0,115,0,Active,48,0.28,3.3
EMP-00128,HR,West,Senior Analyst,2023-10-31,Female,Hispanic,59,Associate,185518.74,3.2,5.0,8.0,92,0,Active,114,0.67,1.2
EMP-00129,Sales,Central,Coordinator,2022-05-26,Female,Hispanic,49,High School,81340.18,1.3,3.2,86.0,26,0,On Leave,108,0.08,2.6
EMP-00130,HR,South,Analyst,2021-12-30,Female,White,60,Master,128543.27,1.7,1.7,50.0,165,1,Terminated,15,0.67,3.0
EMP-00131,Marketing,Central,VP,2015-02-13,Female,Asian,49,Master,134263.09,3.2,4.5,14.0,76,0,Active,95,0.53,9.9
EMP-00132,Engineering,North,Manager,2020-02-01,Male,Hispanic,53,Bachelor,119809.44,4.7,3.6,68.0,66,1,Terminated,98,0.05,4.9
EMP-00133,Sales,North,Senior Analyst,2019-04-22,Female,White,45,Bachelor,78333.12,1.8,3.5,23.0,102,1,Active,102,0.41,5.7
EMP-00134,Customer Support,East,Coordinator,2020-03-16,Female,Asian,29,Bachelor,105178.65,2.4,4.5,9.0,101,0,Active,26,0.23,4.8
EMP-00135,Customer Support,West,Senior Engineer,2023-12-01,Male,White,53,Master,86452.97,2.8,3.9,29.0,196,0,Active,49,0.13,1.1
EMP-00136,R&D,West,Specialist,2019-10-20,Male,White,49,Bachelor,109369.01,4.8,4.7,30.0,58,1,Active,94,0.94,5.2
EMP-00137,Sales,East,Engineer,2024-11-13,Female,Hispanic,24,Master,53225.68,3.9,4.8,87.0,79,0,Active,89,0.29,0.1
EMP-00138,Marketing,Central,Specialist,2021-12-15,Female,Asian,28,Master,66551.69,2.3,2.4,31.0,158,0,Active,55,0.49,3.0
EMP-00139,Sales,West,Engineer,2021-12-11,Female,White,27,High School,62002.69,2.1,1.8,78.0,85,0,Active,99,0.61,3.1
EMP-00140,Engineering,Central,Manager,2016-02-19,Male,Black,50,Master,135200.27,3.1,2.5,58.0,130,1,Active,37,0.63,8.9
EMP-00141,HR,South,Analyst,2018-10-23,Female,White,35,High School,144943.3,2.5,4.9,10.0,68,1,On Leave,28,0.38,6.2
EMP-00142,Customer Support,North,Analyst,2022-04-20,Female,White,61,Master,186232.96,3.5,1.8,16.0,194,0,Active,20,0.27,2.7
EMP-00143,Engineering,South,Director,2022-07-30,Male,White,40,PhD,81945.95,3.1,3.4,9.0,78,0,Terminated,16,0.56,2.4
EMP-00144,Finance,East,Specialist,2023-10-12,Male,Asian,46,Bachelor,102958.21,1.1,1.3,41.0,14,0,Terminated,33,0.79,1.2
EMP-00145,Customer Support,West,Coordinator,2015-04-17,Male,White,58,Associate,139588.94,1.3,4.3,97.0,154,0,Active,56,0.89,9.7
EMP-00146,Sales,South,VP,2020-02-03,Female,White,39,High School,195480.94,1.5,3.7,19.0,76,0,Terminated,39,0.59,4.9
EMP-00147,Sales,North,Senior Analyst,2020-10-19,Female,White,25,Associate,102642.73,3.6,3.1,35.0,145,0,Active,58,0.53,4.2
EMP-00148,Customer Support,West,VP,2018-09-06,Male,White,22,Bachelor,86338.53,4.9,3.5,82.0,9,0,Active,41,0.97,6.3
EMP-00149,R&D,Central,Senior Manager,2021-08-04,Male,White,54,Master,102047.14,2.8,1.5,88.0,159,1,On Leave,112,0.2,3.4
EMP-00150,Engineering,West,Specialist,2017-02-27,Female,White,49,Master,89487.85,1.6,4.4,74.0,195,0,Terminated,58,0.02,7.8
EMP-00151,R&D,North,Coordinator,2016-03-18,Male,Other,62,Bachelor,53614.26,3.4,2.4,47.0,127,0,Active,73,0.49,8.8
EMP-00152,Customer Support,West,Manager,2016-02-25,Male,Black,40,High School,95357.55,3.5,1.7,65.0,193,0,Active,53,0.06,8.9
EMP-00153,Operations,South,Engineer,2015-02-20,Female,White,54,PhD,133651.98,4.0,1.1,46.0,157,0,Active,22,0.06,9.9
EMP-00154,Marketing,East,Coordinator,2021-09-03,Female,White,36,Master,69246.86,3.8,1.2,85.0,179,0,Active,84,0.03,3.3
EMP-00155,Operations,South,Senior Engineer,2022-12-31,Female,White,44,Bachelor,173386.02,3.8,3.7,42.0,56,0,Terminated,53,0.62,2.0
EMP-00156,Engineering,West,Senior Analyst,2015-10-04,Female,White,50,Master,157657.74,3.9,3.9,82.0,173,0,On Leave,27,0.63,9.2
EMP-00157,Customer Support,Central,Coordinator,2021-08-25,Female,Asian,60,Bachelor,129373.69,4.3,1.6,59.0,2,0,Active,95,0.26,3.4
EMP-00158,HR,West,Engineer,2023-11-08,Female,Asian,35,Bachelor,157999.1,4.6,3.4,53.0,62,1,Active,23,0.45,1.1
EMP-00159,Marketing,North,Director,2024-06-05,Female,White,51,PhD,90666.53,1.0,2.9,66.0,171,0,On Leave,112,0.42,0.6
EMP-00160,Sales,South,Analyst,2017-03-04,Female,Hispanic,23,Master,72021.56,3.7,4.7,30.0,68,0,Active,61,0.49,7.8
EMP-00161,Operations,South,Engineer,2021-06-05,Female,Hispanic,34,Bachelor,174763.8,4.8,3.7,40.0,97,0,Active,28,0.2,3.6
EMP-00162,Operations,West,Coordinator,2016-05-31,Non-Binary,Black,61,Associate,171006.98,4.0,3.1,81.0,124,0,On Leave,58,0.81,8.6
EMP-00163,Sales,East,Senior Engineer,2022-02-23,Male,White,49,Associate,157752.61,1.3,2.1,39.0,54,0,Terminated,81,0.29,2.9
EMP-00164,Marketing,West,Analyst,2020-09-15,Male,White,52,Bachelor,81009.35,3.9,2.8,66.0,57,0,Active,71,0.33,4.3
EMP-00165,Marketing,East,Senior Manager,2017-11-15,Female,White,33,Bachelor,94985.24,2.0,2.0,67.0,61,0,Terminated,32,0.65,7.1
EMP-00166,R&D,West,Senior Manager,2018-12-26,Female,White,34,Bachelor,100891.99,1.7,3.7,87.0,6,0,Active,61,0.98,6.0
EMP-00167,Marketing,South,Director,2019-09-21,Female,Asian,24,High School,69477.87,1.8,3.4,45.0,18,0,Active,41,0.2,5.3
EMP-00168,Sales,East,Director,2020-05-25,Female,Black,50,Associate,161606.07,4.9,2.2,90.0,117,0,Active,57,0.36,4.6
EMP-00169,Sales,North,Senior Manager,2023-02-16,Male,White,51,Master,69551.44,3.6,1.0,99.0,18,0,On Leave,100,0.37,1.9
EMP-00170,Operations,East,Analyst,2021-12-18,Female,White,33,Master,75480.11,4.9,4.9,18.0,80,0,Active,35,0.53,3.0
EMP-00171,Customer Support,Central,Specialist,2019-12-27,Male,Black,42,Bachelor,47707.84,4.4,1.2,72.0,175,0,Active,99,0.84,5.0
EMP-00172,Operations,North,Director,2017-01-31,Female,Hispanic,23,Bachelor,146135.89,4.7,3.2,70.0,184,1,Active,111,0.73,7.9
EMP-00173,Sales,West,Analyst,2017-09-22,Female,Asian,37,Master,188639.78,3.2,4.4,46.0,148,0,Active,53,0.21,7.3
EMP-00174,Sales,Central,Manager,2016-07-17,Male,Asian,53,Associate,117402.31,2.4,3.5,31.0,106,0,Active,88,0.71,8.5
EMP-00175,Sales,North,Analyst,2023-12-09,Female,Asian,49,Bachelor,183647.4,4.0,3.3,4.0,0,0,Terminated,57,0.13,1.1
EMP-00176,Engineering,West,Engineer,2015-06-30,Male,White,30,Master,174560.01,1.1,3.9,64.0,81,0,Active,115,0.19,9.5
EMP-00177,Engineering,East,Coordinator,2015-09-05,Male,Asian,38,Bachelor,167152.26,3.6,2.2,32.0,23,1,Active,44,0.39,9.3
EMP-00178,Engineering,West,Coordinator,2016-06-06,Male,White,40,High School,66822.45,4.8,2.6,56.0,157,0,On Leave,104,0.34,8.6
EMP-00179,Marketing,South,Coordinator,2018-06-30,Male,White,28,High School,100371.13,4.4,1.3,13.0,189,0,Active,18,0.87,6.5
EMP-00180,Sales,North,Engineer,2021-07-22,Female,White,57,High School,146214.25,1.8,1.0,5.0,198,1,Terminated,119,1.0,3.4
EMP-00181,Operations,East,VP,2019-11-21,Female,White,61,Bachelor,95097.03,1.5,2.1,80.0,154,1,On Leave,42,0.2,5.1
EMP-00182,Operations,West,Specialist,2020-10-02,Non-Binary,White,22,Bachelor,153742.58,4.3,4.3,13.0,179,0,Active,82,0.66,4.2
EMP-00183,Engineering,East,Engineer,2022-04-23,Male,Hispanic,63,High School,85966.53,1.2,3.4,15.0,26,0,Active,95,0.58,2.7
EMP-00184,Marketing,East,Director,2023-06-17,Female,Hispanic,57,Associate,102818.49,5.0,1.6,57.0,66,0,Active,106,0.77,1.5
EMP-00185,HR,North,Engineer,2019-01-05,Non-Binary,White,60,Master,157041.82,2.9,2.7,73.0,116,1,Active,79,0.7,6.0
EMP-00186,Customer Support,East,Coordinator,2018-06-28,Male,White,22,Bachelor,58861.48,4.7,1.1,2.0,3,1,Active,27,0.28,6.5
EMP-00187,Customer Support,North,Senior Manager,2021-07-18,Male,Black,45,PhD,165884.98,4.2,4.2,45.0,172,1,Terminated,100,0.84,3.5
