transaction_id,date,region,country,customer_id,customer_segment,product,sales_channel,quantity,unit_price,discount_percent,customer_lifetime_value,recency_days,frequency,monetary_value,satisfaction_score,nps_score,revenue,cost,profit,profit_margin
TXN-000013,2023-03-24,Central,Japan,CUST-0009,SMB,Basic Plan,Online,15,103.08,20,17113.87,215,23,2626.16,2.5,-37,1236.96,564.32,672.64,54.38
TXN-000014,2023-04-22,South,Germany,CUST-0069,Individual,Product A,Direct,17,1560.31,0,5090.89,336,46,22394.92,3.6,-18,26525.27,12123.58,14401.69,54.29
TXN-000015,2024-10-31,West,Germany,CUST-0398,Individual,Product A,Retail,39,2024.17,20,31188.88,141,48,23076.42,2.2,-44,63154.1,34379.47,28774.629999999997,45.56
TXN-000016,2022-02-24,South,India,CUST-0677,Startup,Product A,Direct,35,4184.47,0,17664.83,167,40,7096.96,3.9,-56,146456.45,69500.34,76956.11000000002,52.55
TXN-000017,2023-02-12,West,Australia,CUST-0278,Startup,Enterprise Suite,Partner,5,1982.45,10,31642.16,287,18,13872.5,3.5,-28,8921.02,4841.05,4079.9700000000003,45.73
TXN-000018,2024-05-09,Central,Germany,CUST-0679,SMB,Product E,Partner,16,105.78,0,833.66,335,46,12182.39,2.9,8,1692.48,941.62,750.86,44.36
TXN-000019,2023-03-28,North,Canada,CUST-0873,SMB,Enterprise Suite,Partner,23,1794.11,15,49111.4,5,49,16738.8,1.4,9,35074.85,21718.11,13356.739999999998,38.08
TXN-000020,2024-07-08,West,Australia,CUST-0935,Startup,Premium Plan,Retail,39,2519.67,0,8940.56,127,22,24450.87,3.5,35,98267.13,67194.83,31072.300000000003,31.62
TXN-000021,2023-07-24,South,Canada,CUST-0676,SMB,Product D,Online,48,4747.57,5,33136.88,86,40,24660.87,4.4,9,216489.19,119312.42,97176.77,44.89
TXN-000022,2022-01-14,Central,France,CUST-0369,SMB,Product E,Partner,9,4708.12,15,35931.32,86,30,12777.69,1.7,8,36017.12,18242.73,17774.390000000003,49.35
TXN-000023,2022-11-23,West,Australia,CUST-0886,Individual,Product E,Partner,33,945.33,10,8994.61,24,48,2389.55,1.3,-10,28076.3,13409.55,14666.75,52.24
TXN-000024,2024-05-15,North,Germany,CUST-0111,Individual,Premium Plan,Direct,35,966.48,0,6029.76,45,42,8428.37,1.2,-14,33826.8,19971.25,13855.550000000003,40.96
TXN-000025,2023-11-28,North,UK,CUST-0020,SMB,Enterprise Suite,Partner,40,858.74,5,8052.57,111,42,10397.81,1.1,37,32632.12,22283.66,10348.46,31.71
TXN-000026,2023-07-24,East,Japan,CUST-0300,Individual,Enterprise Suite,Online,24,3955.16,0,12717.5,290,18,13412.37,4.4,81,94923.84,59744.73,35179.10999999999,37.06
TXN-000027,2022-11-15,East,Canada,CUST-0889,Individual,Product A,Retail,24,79.81,10,8827.49,185,18,24013.22,3.9,93,1723.9,796.15,927.7500000000001,53.82
TXN-000028,2023-03-17,South,Australia,CUST-0905,Startup,Product E,Partner,24,679.53,25,33862.97,235,41,6634.2,1.8,-57,12231.54,8170.56,4060.9800000000005,33.2
TXN-000029,2023-11-21,West,Germany,CUST-0665,SMB,Product A,Retail,19,2712.9,10,21331.24,157,1,13463.52,4.7,-53,46390.59,28792.5,17598.089999999997,37.93
TXN-000030,2022-07-29,West,Australia,CUST-0396,SMB,Product D,Retail,39,1275.43,0,27120.68,161,48,7347.09,1.5,-30,49741.77,21805.97,27935.799999999996,56.16
TXN-000031,2022-07-09,East,Germany,CUST-0237,SMB,Product C,Online,25,507.16,0,2843.17,200,42,22994.6,2.5,-99,12679.0,7782.89,4896.11,38.62
TXN-000032,2024-02-18,West,Germany,CUST-0390,Enterprise,Product A,Direct,31,1831.4,25,43131.82,122,15,24749.95,2.8,-21,42580.05,20728.25,21851.800000000003,51.32
TXN-000033,2022-07-18,West,Germany,CUST-0521,SMB,Enterprise Suite,Direct,38,1407.33,0,8943.29,224,5,21781.41,1.3,17,53478.54,29275.17,24203.370000000003,45.26
TXN-000034,2024-01-06,North,India,CUST-0727,SMB,Basic Plan,Retail,25,2579.97,5,18327.54,23,27,8534.72,2.4,-95,61274.29,30028.65,31245.64,50.99
TXN-000035,2023-12-06,East,Japan,CUST-0102,SMB,Product B,Partner,27,4897.21,5,4059.13,197,17,7019.31,1.4,-21,125613.44,53413.07,72200.37,57.48
TXN-000036,2023-06-26,Central,UK,CUST-0926,Individual,Product C,Retail,32,665.31,15,7271.26,285,41,10836.15,4.2,-12,18096.43,11411.16,6685.27,36.94
TXN-000037,2022-03-30,East,UK,CUST-0324,Enterprise,Product D,Direct,11,1895.0,20,33457.07,6,32,18714.64,1.2,-56,16676.0,10816.14,5859.860000000001,35.14
TXN-000038,2024-07-29,Central,Australia,CUST-0497,Startup,Basic Plan,Partner,5,4663.33,0,34783.06,308,38,331.96,1.1,-91,23316.65,10949.35,12367.300000000001,53.04
TXN-000039,2022-09-13,North,Australia,CUST-0888,Startup,Enterprise Suite,Direct,44,4390.52,10,34009.79,345,26,24878.27,3.9,36,173864.59,82045.21,91819.37999999999,52.81
TXN-000040,2024-02-15,South,Germany,CUST-0612,Enterprise,Product C,Online,33,2001.64,5,27830.77,89,2,22096.94,4.1,-69,62751.41,33194.7,29556.710000000006,47.1
TXN-000041,2022-06-11,West,India,CUST-0545,Individual,Premium Plan,Direct,19,3509.82,0,47649.82,273,28,693.01,3.0,-99,66686.58,42908.87,23777.71,35.66
TXN-000042,2023-08-24,North,Germany,CUST-0091,Startup,Enterprise Suite,Partner,43,484.89,0,25605.27,284,45,9614.29,2.3,-80,20850.27,8823.43,12026.84,57.68
TXN-000043,2024-01-11,West,India,CUST-0191,SMB,Product A,Partner,47,3577.08,5,22745.9,265,23,17227.07,1.9,30,159716.62,102636.04,57080.58,35.74
TXN-000044,2023-01-29,South,Germany,CUST-0204,Individual,Basic Plan,Retail,16,4865.65,0,12753.51,115,20,6111.01,1.5,-8,77850.4,52690.47,25159.929999999993,32.32
TXN-000045,2022-05-23,South,Canada,CUST-0513,SMB,Enterprise Suite,Partner,35,2710.57,15,5393.05,124,36,3656.68,2.9,20,80639.46,45839.6,34799.86000000001,43.15
TXN-000046,2022-04-04,North,Canada,CUST-0990,Startup,Basic Plan,Online,11,2517.53,0,27633.67,260,42,15770.03,3.0,-78,27692.83,11578.86,16113.970000000001,58.19
TXN-000047,2023-04-12,South,France,CUST-0469,Enterprise,Product D,Direct,11,977.23,0,16087.06,169,22,22597.78,2.8,64,10749.53,5169.08,5580.450000000001,51.91
TXN-000048,2023-08-16,Central,Germany,CUST-0575,Individual,Product B,Retail,10,3187.25,0,26439.26,36,11,23894.27,4.1,99,31872.5,13814.05,18058.45,56.66
TXN-000049,2022-06-13,South,Japan,CUST-0949,SMB,Product A,Retail,34,2972.66,0,10702.89,229,28,355.56,1.4,-65,101070.44,48289.95,52780.490000000005,52.22
TXN-000050,2023-04-22,West,France,CUST-0730,Startup,Product A,Partner,5,3277.07,5,41989.55,134,45,21873.99,3.7,-87,15566.08,10017.31,5548.77,35.65
TXN-000051,2022-07-26,West,Australia,CUST-0023,SMB,Basic Plan,Online,23,179.11,0,49985.01,244,22,14063.12,2.6,-86,4119.53,1716.61,2402.92,58.33
TXN-000052,2024-02-18,West,Mexico,CUST-0041,Startup,Product D,Retail,25,2766.18,10,16458.97,65,17,6018.84,2.0,-66,62239.05,30195.09,32043.960000000003,51.49
TXN-000053,2023-07-24,West,Germany,CUST-0254,Individual,Product D,Online,29,2994.93,25,42195.22,237,31,15461.9,3.7,19,65139.73,36158.1,28981.630000000005,44.49
TXN-000054,2024-07-17,Central,Canada,CUST-0945,SMB,Product C,Online,40,1077.27,15,43712.81,3,11,24895.14,1.8,-79,36627.18,24254.97,12372.21,33.78
TXN-000055,2024-01-18,East,Mexico,CUST-0543,Startup,Product B,Direct,13,1081.25,0,49805.65,37,36,6976.69,1.9,74,14056.25,6676.64,7379.61,52.5
TXN-000056,2022-11-30,North,India,CUST-0313,SMB,Enterprise Suite,Direct,47,1417.28,20,17464.65,109,14,6994.52,5.0,-65,53289.73,33758.95,19530.780000000006,36.65
TXN-000057,2024-01-29,West,Mexico,CUST-0342,Individual,Product C,Direct,32,3573.02,0,37924.05,250,35,17503.67,4.6,-86,114336.64,65751.65,48584.990000000005,42.49
TXN-000058,2023-12-29,South,Japan,CUST-0502,SMB,Enterprise Suite,Online,34,3051.02,5,11826.05,3,23,1175.87,3.8,20,98547.95,59415.63,39132.32,39.71
TXN-000059,2023-03-06,West,Germany,CUST-0403,Individual,Enterprise Suite,Direct,12,4236.53,5,31427.4,235,29,20531.63,2.3,-5,48296.44,31804.68,16491.760000000002,34.15
TXN-000060,2023-07-01,South,UK,CUST-0763,Individual,Enterprise Suite,Retail,24,1513.51,0,35389.71,251,23,16347.97,3.1,85,36324.24,14817.55,21506.69,59.21
TXN-000061,2022-05-27,South,Mexico,CUST-0161,SMB,Product C,Retail,40,4564.74,20,37185.47,143,44,21045.66,1.5,58,146071.68,81642.39,64429.28999999999,44.11
TXN-000062,2022-12-17,West,UK,CUST-0019,SMB,Product A,Partner,21,3731.35,0,10755.02,248,36,5845.43,2.3,68,78358.35,48908.48,29449.870000000003,37.58
TXN-000063,2024-12-29,Central,India,CUST-0356,SMB,Product D,Online,29,2005.31,5,42511.92,56,16,21195.04,1.3,-1,55246.29,36759.83,18486.46,33.46
TXN-000064,2023-05-17,South,France,CUST-0701,Individual,Product A,Direct,23,521.55,0,21338.11,61,39,11270.48,3.4,-12,11995.65,5275.79,6719.86,56.02
TXN-000065,2022-12-01,South,UK,CUST-0361,SMB,Product B,Retail,33,1322.07,15,11210.29,68,20,3404.78,4.4,-27,37084.06,18632.35,18451.71,49.76
TXN-000066,2024-08-04,West,France,CUST-0364,Startup,Product C,Online,8,4786.0,15,27355.29,79,25,22545.42,4.2,-75,32544.8,13784.89,18759.91,57.64
TXN-000067,2024-02-17,South,Canada,CUST-0641,Individual,Premium Plan,Online,42,1586.3,0,43236.18,327,19,17654.83,4.4,-71,66624.6,43337.98,23286.620000000003,34.95
TXN-000068,2023-07-07,South,Germany,CUST-0310,SMB,Product B,Direct,13,1683.01,10,48370.85,196,26,4290.3,1.7,21,19691.22,12941.26,6749.960000000001,34.28
TXN-000069,2023-03-26,West,Mexico,CUST-0242,Startup,Product D,Online,5,988.47,10,37536.29,195,32,6237.97,3.6,2,4448.12,2424.56,2023.56,45.49
TXN-000070,2023-10-27,West,Canada,CUST-0514,SMB,Product D,Direct,41,4043.91,5,778.33,23,21,6794.7,4.8,39,157510.29,63986.76,93523.53,59.38
TXN-000071,2022-04-25,North,Canada,CUST-0283,Enterprise,Product E,Direct,10,1414.44,10,7167.69,14,9,24087.02,4.1,-70,12729.96,5482.28,7247.679999999999,56.93
TXN-000072,2023-04-15,Central,Brazil,CUST-0832,Individual,Product B,Direct,14,1684.78,5,4275.56,289,43,22165.81,1.0,8,22407.57,13160.13,9247.44,41.27
TXN-000073,2022-03-07,Central,USA,CUST-0064,Enterprise,Premium Plan,Online,24,2101.02,0,5510.08,9,19,8723.99,4.5,10,50424.48,35034.21,15390.270000000004,30.52
TXN-000074,2023-10-09,South,Japan,CUST-0641,SMB,Product A,Online,11,2196.95,10,19460.23,140,49,11719.26,3.8,10,21749.8,14173.46,7576.34,34.83
TXN-000075,2024-04-01,Central,France,CUST-0264,Individual,Basic Plan,Direct,46,2086.14,5,17255.42,242,21,7203.47,1.5,-19,91164.32,58288.34,32875.98000000001,36.06
TXN-000076,2023-07-03,South,Brazil,CUST-0900,SMB,Premium Plan,Online,3,2543.53,5,6127.41,253,18,18591.95,2.3,-99,7249.06,3808.59,3440.4700000000003,47.46
TXN-000077,2022-05-16,North,USA,CUST-0397,Government,Product B,Direct,29,4081.84,20,44170.65,227,6,4114.11,1.5,-23,94698.69,65868.97,28829.72,30.44
TXN-000078,2023-03-09,West,Japan,CUST-0912,Government,Product C,Partner,48,4105.46,0,30963.67,95,35,8531.5,3.9,47,197062.08,127596.09,69465.98999999999,35.25
TXN-000079,2023-10-07,West,France,CUST-0835,SMB,Product D,Online,30,4001.65,0,39924.93,179,14,15192.0,1.0,85,120049.5,60108.29,59941.21,49.93
TXN-000080,2023-03-12,West,Germany,CUST-0031,Enterprise,Product D,Online,49,550.57,0,18891.69,3,9,21945.88,2.9,47,26977.93,16848.99,10128.939999999999,37.55
TXN-000081,2024-10-19,Central,Japan,CUST-0967,Startup,Product B,Partner,37,4008.41,0,20806.68,184,35,15925.2,5.0,-67,148311.17,78568.86,69742.31000000001,47.02
TXN-000082,2024-03-21,North,Mexico,CUST-0569,SMB,Premium Plan,Partner,7,645.25,0,16222.25,46,2,23499.19,4.4,-41,4516.75,2701.63,1815.12,40.19
TXN-000083,2024-07-28,Central,Canada,CUST-0972,Enterprise,Product B,Partner,17,667.38,25,22202.12,292,6,23277.15,3.3,-67,8509.09,5879.92,2629.17,30.9
TXN-000084,2022-10-20,Central,USA,CUST-0287,Startup,Enterprise Suite,Direct,20,4741.92,0,30713.67,141,35,17985.66,3.8,64,94838.4,44947.28,49891.119999999995,52.61
TXN-000085,2023-06-27,North,USA,CUST-0231,Enterprise,Product B,Direct,11,4106.02,10,24902.71,13,25,7039.68,3.4,94,40649.6,25954.8,14694.8,36.15
TXN-000086,2022-10-13,North,USA,CUST-0156,Individual,Enterprise Suite,Retail,44,2784.43,0,41976.89,186,9,17108.67,4.2,26,122514.92,70704.87,51810.05,42.29
TXN-000087,2023-05-21,North,France,CUST-0350,Enterprise,Premium Plan,Partner,25,4381.1,10,45056.89,85,31,4899.17,4.5,-82,98574.75,67522.84,31051.910000000003,31.5
TXN-000088,2023-06-23,North,Mexico,CUST-0919,Enterprise,Product C,Retail,24,4947.35,25,23749.35,43,7,8396.8,4.1,-49,89052.3,39213.2,49839.100000000006,55.97
TXN-000089,2024-05-27,West,Japan,CUST-0403,SMB,Product C,Direct,2,3072.68,0,12367.53,156,28,18971.7,1.7,-57,6145.36,3785.01,2360.3499999999995,38.41
TXN-000090,2024-03-28,East,Canada,CUST-0673,Government,Product A,Online,27,3083.85,15,47287.02,184,2,21280.74,2.5,-15,70774.36,29098.59,41675.770000000004,58.89
TXN-000091,2024-01-12,East,Mexico,CUST-0141,Startup,Product B,Partner,19,3784.41,25,36884.41,47,1,10477.55,4.1,54,53927.84,25559.96,28367.879999999997,52.6
TXN-000092,2023-03-26,North,Brazil,CUST-0090,Individual,Premium Plan,Online,29,1199.09,5,32186.29,206,37,13133.58,4.3,-63,33034.93,16393.79,16641.14,50.37
TXN-000093,2022-10-11,East,Germany,CUST-0748,SMB,Premium Plan,Direct,37,877.27,0,37397.98,210,24,9714.71,3.5,-9,32458.99,17192.77,15266.220000000001,47.03
TXN-000094,2024-11-09,East,UK,CUST-0392,SMB,Product A,Partner,11,3809.92,10,4261.1,275,35,12034.58,3.9,48,37718.21,26010.1,11708.11,31.04
TXN-000095,2024-10-07,North,Mexico,CUST-0534,SMB,Basic Plan,Retail,19,1757.28,15,3847.5,83,7,12860.94,1.7,65,28380.07,11927.59,16452.48,57.97
TXN-000096,2022-07-06,East,Brazil,CUST-0984,SMB,Premium Plan,Retail,28,718.6,0,8079.47,97,38,17326.68,2.5,-88,20120.8,9068.34,11052.46,54.93
TXN-000097,2022-04-07,Central,Canada,CUST-0695,Startup,Product E,Direct,39,1608.64,5,7798.82,179,29,18788.06,3.1,-8,59600.11,27470.54,32129.57,53.91
TXN-000098,2022-08-13,South,UK,CUST-0628,Startup,Product C,Online,21,1825.25,0,21323.19,355,1,24377.9,4.9,48,38330.25,20207.67,18122.58,47.28
TXN-000099,2022-11-10,South,UK,CUST-0894,SMB,Product D,Direct,26,4827.88,0,8291.5,148,30,10997.52,4.2,-59,125524.88,52495.76,73029.12,58.18
TXN-000100,2022-11-24,North,Mexico,CUST-0641,Individual,Enterprise Suite,Online,22,3504.9,20,42799.02,285,46,2170.18,1.8,-5,61686.24,42540.43,19145.809999999998,31.04
TXN-000101,2024-05-14,West,USA,CUST-0703,SMB,Product E,Direct,6,2677.74,5,29115.8,72,32,17235.34,2.4,-53,15263.12,8668.77,6594.35,43.2
TXN-000102,2022-05-11,North,Australia,CUST-0233,Government,Product D,Retail,11,4845.92,0,18728.96,217,10,12507.03,1.9,-55,53305.12,34327.75,18977.370000000003,35.6
TXN-000103,2024-02-28,West,Canada,CUST-0428,Enterprise,Product E,Online,14,4520.54,10,3946.32,209,34,21041.44,1.6,13,56958.8,35983.7,20975.100000000006,36.83
TXN-000104,2024-02-21,South,USA,CUST-0247,SMB,Product A,Direct,36,2584.4,0,29755.88,321,11,3748.95,1.5,-23,93038.4,55659.99,37378.409999999996,40.18
TXN-000105,2024-08-16,North,Canada,CUST-0587,SMB,Product A,Partner,40,4533.11,0,6268.37,294,48,16158.36,4.9,-44,181324.4,121727.21,59597.18999999999,32.87
TXN-000106,2024-12-19,Central,Australia,CUST-0157,SMB,Enterprise Suite,Retail,41,2051.31,5,37289.4,124,49,11535.53,4.6,-49,79898.52,53589.14,26309.380000000005,32.93
TXN-000107,2023-05-30,East,Germany,CUST-0437,Startup,Product C,Retail,2,1190.58,5,40236.53,350,37,10540.65,2.9,-79,2262.1,991.55,1270.55,56.17
TXN-000108,2022-01-24,West,Australia,CUST-0994,SMB,Basic Plan,Partner,43,1201.76,0,27426.82,156,27,14165.16,3.2,-84,51675.68,34652.6,17023.08,32.94
TXN-000109,2022-08-23,East,India,CUST-0320,SMB,Premium Plan,Direct,20,3328.46,0,7905.34,33,48,17136.15,4.4,-4,66569.2,37090.18,29479.019999999997,44.28
TXN-000110,2023-07-01,East,Mexico,CUST-0932,Startup,Enterprise Suite,Online,22,2530.3,5,39449.7,269,10,21288.09,3.6,1,52883.27,25406.23,27477.039999999997,51.96
TXN-000111,2023-11-28,North,Mexico,CUST-0620,Startup,Basic Plan,Retail,39,3311.81,15,15737.48,216,38,5954.28,3.9,-75,109786.5,63956.14,45830.36,41.74
TXN-000112,2022-08-17,East,Brazil,CUST-0338,Individual,Product D,Direct,4,3446.08,20,11521.33,101,22,7398.06,4.2,66,11027.46,5340.28,5687.179999999999,51.57
TXN-000113,2023-08-25,Central,USA,CUST-0460,SMB,Premium Plan,Partner,29,160.5,0,23792.55,180,24,13759.68,2.9,-30,4654.5,2530.66,2123.84,45.63
TXN-000114,2024-06-09,East,Brazil,CUST-0556,Startup,Product E,Online,46,317.5,5,46170.99,127,8,8729.27,4.9,90,13874.75,8948.26,4926.49,35.51
TXN-000115,2022-11-20,North,India,CUST-0135,Startup,Enterprise Suite,Direct,24,2686.75,20,15219.98,333,6,14251.78,3.5,78,51585.6,21132.53,30453.07,59.03
TXN-000116,2024-07-18,Central,Australia,CUST-0212,SMB,Basic Plan,Direct,1,995.63,5,45326.14,169,4,5083.75,3.5,57,945.85,430.29,515.56,54.51
TXN-000117,2022-01-07,South,Mexico,CUST-0669,SMB,Product B,Retail,24,3181.04,20,3155.84,305,5,7760.43,1.6,-60,61075.97,41957.65,19118.32,31.3
TXN-000118,2023-06-24,East,France,CUST-0142,SMB,Product B,Retail,30,2783.32,20,4634.42,135,6,8188.57,5.0,60,66799.68,35639.6,31160.079999999994,46.65
TXN-000119,2024-10-22,North,Australia,CUST-0595,Enterprise,Product C,Online,12,2949.51,0,35078.77,292,47,24808.78,1.3,-51,35394.12,17378.42,18015.700000000004,50.9
TXN-000120,2023-01-01,South,Australia,CUST-0555,SMB,Basic Plan,Direct,19,1547.15,0,9934.34,93,32,21373.27,4.9,90,29395.85,19900.52,9495.329999999998,32.3
TXN-000121,2024-11-05,South,India,CUST-0701,Enterprise,Enterprise Suite,Partner,37,3217.23,0,16172.72,221,38,20958.75,4.6,66,119037.51,80155.59,38881.92,32.66
TXN-000122,2022-08-06,West,Germany,CUST-0820,Startup,Product D,Partner,40,4155.99,0,7250.46,155,20,12887.89,4.4,-73,166239.6,68702.29,97537.31000000001,58.67
TXN-000123,2023-09-04,Central,Canada,CUST-0208,Startup,Product B,Online,43,4990.45,20,16946.29,280,40,11724.52,3.7,45,171671.48,87336.73,84334.75000000001,49.13
TXN-000124,2024-11-05,East,India,CUST-0884,Government,Product C,Direct,4,4200.3,20,14382.77,199,45,1846.13,3.4,-27,13440.96,9057.14,4383.82,32.62
TXN-000125,2023-02-12,North,Canada,CUST-0142,Startup,Enterprise Suite,Retail,15,2809.62,0,36948.71,337,36,5013.43,5.0,86,42144.3,19130.63,23013.670000000002,54.61
TXN-000126,2022-11-10,West,Mexico,CUST-0317,Enterprise,Product C,Direct,20,1007.48,5,35250.16,241,49,22394.14,4.9,27,19142.12,10977.32,8164.799999999999,42.65
TXN-000127,2024-02-05,Central,India,CUST-0706,Individual,Product D,Retail,44,3423.16,5,47768.9,98,14,13188.47,4.2,-35,143088.09,71005.09,72083.0,50.38
TXN-000128,2022-11-27,West,Canada,CUST-0723,Individual,Product B,Partner,20,4691.39,0,36358.87,250,47,24687.21,1.3,13,93827.8,58264.21,35563.590000000004,37.9
TXN-000129,2024-12-22,Central,Brazil,CUST-0921,SMB,Premium Plan,Online,21,1098.74,10,34893.48,105,19,14835.52,2.5,70,20766.19,9292.43,11473.759999999998,55.25
TXN-000130,2022-01-02,Central,India,CUST-0537,Startup,Product B,Online,10,1317.18,20,34863.09,261,11,9499.43,4.5,-88,10537.44,6099.24,4438.200000000001,42.12
TXN-000131,2023-10-26,East,Mexico,CUST-0932,Government,Product B,Online,30,787.59,0,44206.89,129,39,6925.34,3.8,-100,23627.7,9451.14,14176.560000000001,60.0
TXN-000132,2024-09-27,Central,India,CUST-0139,Startup,Basic Plan,Retail,24,3696.77,0,15163.72,327,1,22967.16,1.5,59,88722.48,42211.42,46511.06,52.42
TXN-000133,2022-02-09,West,Mexico,CUST-0441,Individual,Product A,Partner,48,2062.48,0,15354.56,259,35,9331.23,2.4,-12,98999.04,44415.88,54583.159999999996,55.14
TXN-000134,2022-08-18,Central,India,CUST-0931,Enterprise,Basic Plan,Partner,40,360.34,0,37190.08,292,19,3738.93,1.1,-91,14413.6,6672.76,7740.84,53.71
TXN-000135,2024-01-14,East,Canada,CUST-1000,SMB,Product B,Online,40,4381.0,0,11820.9,140,33,7028.64,4.6,42,175240.0,115330.33,59909.67,34.19
TXN-000136,2023-09-22,East,Germany,CUST-0789,SMB,Product E,Online,38,2810.48,5,45644.99,15,32,16176.02,4.0,26,101458.33,68427.45,33030.880000000005,32.56
TXN-000137,2023-05-06,West,Japan,CUST-0149,Startup,Product A,Retail,3,1688.92,5,26971.7,184,36,3411.96,2.7,44,4813.42,3015.65,1797.77,37.35
TXN-000138,2022-04-29,South,Canada,CUST-0672,Individual,Premium Plan,Retail,29,1752.72,15,15356.18,16,24,2380.0,4.0,90,43204.55,24930.41,18274.140000000003,42.3
TXN-000139,2023-05-09,South,USA,CUST-0956,Government,Enterprise Suite,Direct,8,1486.74,0,38916.95,221,43,11494.9,4.7,-47,11893.92,5581.3,6312.62,53.07
TXN-000140,2022-06-11,Central,UK,CUST-0579,SMB,Basic Plan,Retail,29,2304.63,0,15959.87,63,7,2182.93,2.1,50,66834.27,32241.95,34592.32000000001,51.76
TXN-000141,2022-06-25,North,Germany,CUST-0940,Enterprise,Product A,Direct,10,1718.36,15,48182.28,241,7,9884.16,2.1,-30,14606.06,7200.3,7405.759999999999,50.7
TXN-000142,2024-09-22,Central,Brazil,CUST-0162,Individual,Product A,Online,5,2762.33,15,49157.97,279,46,8135.86,2.9,-51,11739.9,7432.55,4307.349999999999,36.69
TXN-000143,2022-05-22,West,Australia,CUST-0326,Startup,Basic Plan,Partner,11,3878.91,0,33506.41,333,47,9847.78,3.8,-42,42668.01,20304.23,22363.780000000002,52.41
TXN-000144,2024-12-26,West,Canada,CUST-0070,SMB,Basic Plan,Retail,4,3388.58,0,6124.88,257,5,12245.93,5.0,63,13554.32,9379.82,4174.5,30.8
TXN-000145,2022-09-15,West,India,CUST-0571,SMB,Product A,Partner,49,1507.56,15,13528.84,185,14,4714.69,1.7,-95,62789.87,40118.9,22670.97,36.11
TXN-000146,2022-09-20,West,Canada,CUST-0546,Startup,Product C,Retail,35,2667.27,0,26013.14,76,45,11116.37,2.4,93,93354.45,65340.21,28014.239999999998,30.01
TXN-000147,2024-08-31,West,France,CUST-0972,Individual,Premium Plan,Retail,40,4208.62,0,42646.65,27,26,9101.83,2.5,8,168344.8,90528.02,77816.77999999998,46.22
TXN-000148,2022-12-05,East,Germany,CUST-0737,SMB,Product E,Direct,12,387.62,5,9651.88,25,1,19907.29,3.9,-69,4418.87,2548.8,1870.0699999999997,42.32
TXN-000149,2023-06-27,South,Japan,CUST-0122,SMB,Product D,Retail,21,437.57,0,5667.97,342,13,17397.76,4.5,-48,9188.97,4448.57,4740.4,51.59
TXN-000150,2024-12-16,West,Brazil,CUST-0189,Government,Product B,Online,16,2803.04,0,4186.64,62,23,21826.29,1.7,7,44848.64,26062.59,18786.05,41.89
TXN-000151,2024-05-16,North,France,CUST-0326,Startup,Premium Plan,Partner,14,3213.62,5,25594.89,146,20,16758.34,3.9,-32,42741.15,29584.15,13157.0,30.78
TXN-000152,2023-03-10,North,Mexico,CUST-0860,SMB,Basic Plan,Retail,21,1096.49,15,44292.7,233,7,3115.02,4.6,-18,19572.35,8007.32,11565.029999999999,59.09
