transaction_id,date,region,department,category,sub_category,cost_center,budget_amount,actual_amount,forecast_amount,quarter,fiscal_year,variance,variance_percent,forecast_accuracy
FIN-000038,2024-07-22,West,Marketing,Revenue,Software,CC-400,181851.56,151882.03,230070.62,Q1,2024,-29969.53,-16.48,48.52
FIN-000039,2022-10-29,West,Finance,Interest,Other,CC-200,268118.24,65053.32,462197.14,Q4,2023,-203064.91999999998,-75.74,-510.49
FIN-000040,2023-08-04,Central,Operations,Revenue,Utilities,CC-500,131877.59,230920.65,56192.0,Q2,2024,99043.06,75.1,24.33
FIN-000041,2022-10-26,North,R&D,Revenue,Services,CC-300,199942.94,438183.51,289547.77,Q2,2023,238240.57,119.15,66.08
FIN-000042,2022-03-12,North,Marketing,Depreciation,Salaries,CC-100,487253.19,66454.68,517586.43,Q4,2023,-420798.51,-86.36,-578.86
FIN-000043,2023-10-18,North,Sales,Operating Expenses,Materials,CC-400,128162.74,61788.26,355758.14,Q2,2023,-66374.48000000001,-51.79,-375.77
FIN-000044,2023-09-25,West,HR,Revenue,Services,CC-400,21470.06,140645.73,87604.62,Q1,2024,119175.67000000001,555.08,62.29
FIN-000045,2024-10-25,West,R&D,Interest,Salaries,CC-400,462107.59,383439.39,346576.1,Q4,2022,-78668.20000000001,-17.02,90.39
FIN-000046,2022-09-10,West,Customer Support,Operating Expenses,Other,CC-200,403707.37,210889.47,226356.57,Q2,2022,-192817.9,-47.76,92.67
FIN-000047,2023-07-15,West,Sales,COGS,Rent,CC-300,232695.65,407296.63,368828.8,Q2,2023,174600.98,75.03,90.56
FIN-000048,2024-09-06,West,Sales,Depreciation,Utilities,CC-500,270910.42,227400.94,188581.41,Q2,2023,-43509.47999999998,-16.06,82.93
FIN-000049,2023-03-18,West,HR,Administrative,Utilities,CC-500,174334.02,50838.23,261632.16,Q3,2022,-123495.78999999998,-70.84,-314.64
FIN-000050,2024-10-10,East,Operations,R&D,Salaries,CC-500,80125.73,549220.54,119970.39,Q3,2022,469094.81000000006,585.45,21.84
FIN-000051,2023-08-20,South,Marketing,Administrative,Services,CC-400,141330.69,377132.16,91259.0,Q3,2023,235801.46999999997,166.84,24.2
FIN-000052,2024-02-11,North,Finance,Revenue,Rent,CC-100,185371.32,350144.65,161563.3,Q1,2024,164773.33000000002,88.89,46.14
FIN-000053,2022-05-01,South,Finance,Interest,Salaries,CC-400,282195.31,275501.84,405443.71,Q3,2022,-6693.469999999972,-2.37,52.83
FIN-000054,2023-11-14,Central,Engineering,Revenue,Software,CC-400,148339.97,53059.42,414419.89,Q1,2023,-95280.55,-64.23,-581.05
FIN-000055,2022-11-09,North,Sales,Revenue,Services,CC-200,168279.48,541971.29,286747.01,Q4,2022,373691.81000000006,222.07,52.91
FIN-000056,2023-03-08,North,HR,Depreciation,Services,CC-400,278571.3,260445.94,104444.07,Q4,2024,-18125.359999999986,-6.51,40.1
FIN-000057,2023-04-06,West,Finance,Administrative,Utilities,CC-400,148402.9,30409.84,422463.02,Q2,2024,-117993.06,-79.51,-1189.23
FIN-000058,2022-04-18,West,R&D,Interest,Rent,CC-200,486244.99,194047.64,452007.47,Q4,2022,-292197.35,-60.09,-32.94
FIN-000059,2023-01-02,Central,HR,Operating Expenses,Rent,CC-400,228717.33,25839.15,61297.59,Q2,2022,-202878.18,-88.7,-37.23
FIN-000060,2024-09-25,South,R&D,Revenue,Utilities,CC-300,405894.99,282674.45,220683.97,Q3,2024,-123220.53999999998,-30.36,78.07
FIN-000061,2024-03-13,South,Finance,Operating Expenses,Travel,CC-300,343459.22,416721.79,290542.47,Q3,2024,73262.57,21.33,69.72
FIN-000062,2023-09-05,South,Customer Support,Revenue,Utilities,CC-300,76276.81,526831.06,420822.19,Q2,2023,450554.25000000006,590.68,79.88
FIN-000063,2022-11-23,Central,HR,Administrative,Travel,CC-200,393117.9,465116.94,332021.78,Q1,2022,71999.03999999998,18.31,71.38
FIN-000064,2022-02-14,East,R&D,R&D,Software,CC-500,131468.24,154964.69,219558.36,Q2,2022,23496.45000000001,17.87,58.32
FIN-000065,2024-03-14,South,Sales,Revenue,Materials,CC-300,446631.15,196095.3,245903.42,Q1,2023,-250535.85000000003,-56.09,74.6
FIN-000066,2023-11-23,North,R&D,Operating Expenses,Services,CC-100,363712.31,289701.32,228229.66,Q1,2022,-74010.98999999999,-20.35,78.78
FIN-000067,2024-05-15,North,Engineering,R&D,Equipment,CC-100,361425.97,379281.47,73830.54,Q4,2023,17855.5,4.94,19.47
FIN-000068,2024-08-27,West,Engineering,COGS,Equipment,CC-400,159886.96,407103.64,410675.94,Q1,2024,247216.68000000002,154.62,99.12
FIN-000069,2023-12-15,West,R&D,Interest,Travel,CC-500,202501.76,468463.27,41774.69,Q1,2024,265961.51,131.34,8.92
FIN-000070,2024-03-12,South,Sales,COGS,Other,CC-400,368442.47,129761.57,359574.08,Q3,2024,-238680.89999999997,-64.78,-77.1
FIN-000071,2024-03-11,South,R&D,R&D,Rent,CC-300,188101.79,68553.29,87227.16,Q2,2023,-119548.50000000001,-63.56,72.76
FIN-000072,2022-05-28,West,Customer Support,COGS,Software,CC-100,231922.51,104241.65,223224.69,Q1,2023,-127680.86000000002,-55.05,-14.14
FIN-000073,2024-12-17,North,Operations,R&D,Other,CC-200,283874.03,519318.59,70896.72,Q1,2024,235444.56,82.94,13.65
FIN-000074,2023-08-03,Central,Customer Support,Revenue,Utilities,CC-500,156180.08,79741.8,311149.27,Q3,2023,-76438.27999999998,-48.94,-190.2
FIN-000075,2023-08-02,Central,Operations,COGS,Utilities,CC-400,384015.81,180862.24,469568.22,Q2,2023,-203153.57,-52.9,-59.63
FIN-000076,2023-02-04,Central,Marketing,Depreciation,Services,CC-100,144556.12,114109.41,320097.37,Q2,2024,-30446.709999999992,-21.06,-80.52
FIN-000077,2024-03-17,South,Marketing,Marketing,Travel,CC-300,35920.49,68013.73,209859.23,Q4,2024,32093.239999999998,89.35,-108.55
FIN-000078,2022-07-19,Central,HR,Marketing,Materials,CC-300,395523.32,293503.84,488280.94,Q3,2023,-102019.47999999998,-25.79,33.64
FIN-000079,2022-09-26,East,Sales,R&D,Utilities,CC-500,191921.42,213634.82,160511.44,Q2,2022,21713.399999999994,11.31,75.13
FIN-000080,2023-10-25,South,Sales,Depreciation,Services,CC-400,424487.2,401818.23,139807.02,Q3,2023,-22668.97000000003,-5.34,34.79
FIN-000081,2022-04-21,East,HR,Depreciation,Software,CC-300,315606.69,220736.65,374515.04,Q1,2022,-94870.04000000001,-30.06,30.33
FIN-000082,2023-09-15,South,Customer Support,Marketing,Materials,CC-100,417197.7,309139.57,497959.16,Q4,2022,-108058.13,-25.9,38.92
FIN-000083,2024-07-26,South,HR,R&D,Utilities,CC-400,196931.93,452788.69,406761.13,Q1,2024,255856.76,129.92,89.83
FIN-000084,2022-12-02,Central,Finance,COGS,Materials,CC-100,284161.37,293903.9,206191.92,Q4,2023,9742.530000000028,3.43,70.16
FIN-000085,2022-10-09,South,Engineering,R&D,Software,CC-300,16204.93,245055.04,149660.45,Q2,2023,228850.11000000002,1412.23,61.07
FIN-000086,2024-06-23,East,Finance,Interest,Software,CC-100,135957.3,79625.91,245857.39,Q2,2022,-56331.389999999985,-41.43,-108.77
FIN-000087,2024-09-15,North,HR,Administrative,Other,CC-300,438517.63,311185.36,387521.24,Q2,2023,-127332.27000000002,-29.04,75.47
FIN-000088,2023-08-20,East,HR,R&D,Travel,CC-200,225997.37,61714.06,152325.26,Q2,2024,-164283.31,-72.69,-46.82
FIN-000089,2022-10-24,West,R&D,Depreciation,Materials,CC-400,321583.54,64850.74,437875.47,Q3,2023,-256732.8,-79.83,-475.21
FIN-000090,2023-03-06,South,HR,Revenue,Salaries,CC-100,147148.64,252540.8,334206.39,Q1,2024,105392.15999999997,71.62,67.66
FIN-000091,2023-03-23,East,Customer Support,Administrative,Equipment,CC-400,427757.95,289514.72,255851.45,Q2,2023,-138243.23000000004,-32.32,88.37
FIN-000092,2023-02-05,Central,Finance,COGS,Equipment,CC-100,300830.08,412618.32,55162.63,Q2,2024,111788.23999999999,37.16,13.37
FIN-000093,2022-01-19,West,Engineering,R&D,Travel,CC-300,454900.34,255437.62,223861.44,Q2,2022,-199462.72000000003,-43.85,87.64
FIN-000094,2024-01-12,North,HR,Interest,Materials,CC-300,129355.53,344807.01,131434.61,Q1,2023,215451.48,166.56,38.12
FIN-000095,2022-07-28,East,Marketing,COGS,Services,CC-200,366411.74,506539.41,269141.76,Q2,2022,140127.66999999998,38.24,53.13
FIN-000096,2022-10-30,East,Engineering,Marketing,Rent,CC-100,20041.01,517488.34,343149.82,Q2,2022,497447.33,2482.15,66.31
FIN-000097,2024-02-11,East,Marketing,R&D,Equipment,CC-200,302917.78,151039.84,171549.44,Q2,2023,-151877.94000000003,-50.14,86.42
FIN-000098,2024-05-24,West,Marketing,Marketing,Services,CC-100,157713.21,255225.9,424383.73,Q2,2023,97512.69,61.83,33.72
FIN-000099,2022-12-11,Central,Engineering,Depreciation,Equipment,CC-200,70365.27,295876.25,452170.04,Q3,2022,225510.97999999998,320.49,47.18
FIN-000100,2022-04-26,West,Marketing,Revenue,Utilities,CC-400,317105.85,250260.1,129571.61,Q2,2024,-66845.74999999997,-21.08,51.77
FIN-000101,2022-07-16,Central,Sales,Revenue,Services,CC-300,24263.21,530154.27,23222.93,Q1,2023,505891.06,2085.01,4.38
FIN-000102,2023-12-30,Central,Customer Support,COGS,Rent,CC-100,86577.98,165358.99,96629.82,Q3,2024,78781.01,90.99,58.44
FIN-000103,2024-08-28,North,Finance,Revenue,Services,CC-500,191663.84,289430.23,240779.24,Q1,2024,97766.38999999998,51.01,83.19
FIN-000104,2023-01-03,South,HR,Depreciation,Software,CC-500,228941.63,76141.79,352697.01,Q4,2024,-152799.84000000003,-66.74,-263.21
FIN-000105,2022-04-18,South,Sales,Depreciation,Other,CC-300,455049.85,349382.17,313888.05,Q4,2023,-105667.68,-23.22,89.84
FIN-000106,2022-08-29,East,HR,R&D,Utilities,CC-500,174184.77,185867.88,306783.28,Q2,2023,11683.110000000015,6.71,34.95
FIN-000107,2024-11-21,South,R&D,Interest,Materials,CC-500,35062.38,444610.11,127142.7,Q3,2022,409547.73,1168.05,28.6
FIN-000108,2023-11-25,East,Customer Support,COGS,Rent,CC-500,481517.03,78662.4,90992.13,Q3,2023,-402854.63,-83.66,84.33
FIN-000109,2024-06-07,West,HR,Marketing,Materials,CC-200,417093.57,484845.36,27218.19,Q1,2023,67751.78999999998,16.24,5.61
FIN-000110,2022-11-01,South,Sales,Operating Expenses,Materials,CC-200,121442.81,241108.82,229201.73,Q3,2023,119666.01000000001,98.54,95.06
FIN-000111,2024-04-07,North,HR,Revenue,Salaries,CC-100,262558.03,228766.62,162961.89,Q3,2022,-33791.41000000003,-12.87,71.23
FIN-000112,2023-05-17,North,Customer Support,R&D,Services,CC-200,86130.68,421772.26,289176.65,Q2,2024,335641.58,389.69,68.56
FIN-000113,2022-03-11,North,R&D,Marketing,Salaries,CC-400,478271.31,171794.54,316771.56,Q2,2023,-306476.77,-64.08,15.61
FIN-000114,2022-09-01,West,R&D,Operating Expenses,Services,CC-100,262951.5,472737.95,156170.6,Q2,2024,209786.45,79.78,33.04
FIN-000115,2023-05-09,East,Engineering,COGS,Other,CC-500,241127.62,158332.28,291668.17,Q1,2023,-82795.34,-34.34,15.79
FIN-000116,2024-03-23,West,Finance,R&D,Travel,CC-500,416141.43,404498.91,320007.57,Q4,2023,-11642.520000000019,-2.8,79.11
FIN-000117,2024-09-27,West,Customer Support,Interest,Equipment,CC-300,73203.81,38276.15,458678.55,Q1,2023,-34927.659999999996,-47.71,-998.34
FIN-000118,2023-09-12,West,Customer Support,Operating Expenses,Travel,CC-100,139525.55,387929.73,83808.93,Q1,2023,248404.18,178.03,21.6
FIN-000119,2022-12-20,Central,Customer Support,R&D,Salaries,CC-500,369000.76,150345.68,205226.58,Q2,2022,-218655.08000000002,-59.26,63.5
FIN-000120,2024-02-08,West,HR,Marketing,Salaries,CC-200,310841.96,402041.86,171409.5,Q3,2022,91199.89999999997,29.34,42.63
FIN-000121,2022-07-03,South,Finance,Interest,Salaries,CC-500,87923.83,456155.01,139217.95,Q1,2024,368231.18,418.81,30.52
FIN-000122,2024-08-07,East,R&D,Depreciation,Utilities,CC-500,113229.32,100386.51,226365.12,Q3,2023,-12842.810000000012,-11.34,-25.49
FIN-000123,2024-02-22,North,R&D,Marketing,Equipment,CC-300,441125.46,98528.98,490624.95,Q2,2023,-342596.48000000004,-77.66,-297.95
FIN-000124,2023-07-18,Central,Customer Support,Revenue,Services,CC-500,413626.28,411820.34,439850.51,Q4,2023,-1805.9400000000023,-0.44,93.19
FIN-000125,2024-06-30,East,R&D,Interest,Salaries,CC-400,17292.57,100091.68,275931.65,Q3,2022,82799.10999999999,478.81,-75.68
FIN-000126,2024-01-23,East,Operations,Marketing,Travel,CC-400,476237.91,18599.04,213018.83,Q4,2024,-457638.87,-96.09,-945.32
FIN-000127,2022-01-24,West,R&D,COGS,Services,CC-500,295020.05,41408.23,229690.79,Q4,2024,-253611.81999999998,-85.96,-354.7
FIN-000128,2022-09-03,North,R&D,COGS,Software,CC-500,240905.23,22141.55,138090.92,Q3,2023,-218763.68000000002,-90.81,-423.67
FIN-000129,2022-08-27,East,Marketing,Depreciation,Materials,CC-400,184238.94,499838.81,345089.39,Q2,2023,315599.87,171.3,69.04
FIN-000130,2022-06-19,South,R&D,R&D,Rent,CC-200,194144.16,476896.06,143988.9,Q4,2023,282751.9,145.64,30.19
FIN-000131,2022-09-07,North,HR,Interest,Rent,CC-100,252348.64,309029.82,65853.81,Q2,2023,56681.17999999999,22.46,21.31
FIN-000132,2024-09-28,South,Marketing,COGS,Rent,CC-400,113180.29,285683.76,173002.39,Q3,2024,172503.47000000003,152.41,60.56
FIN-000133,2024-11-09,Central,Finance,Marketing,Services,CC-300,74424.4,140181.61,257902.21,Q3,2023,65757.20999999999,88.35,16.02
FIN-000134,2023-04-06,East,Sales,Interest,Travel,CC-400,284894.44,278650.99,381191.11,Q2,2022,-6243.450000000012,-2.19,63.2
FIN-000135,2022-02-17,Central,Finance,Interest,Other,CC-100,232049.4,512741.58,258016.4,Q1,2023,280692.18000000005,120.96,50.32
FIN-000136,2024-09-09,South,Engineering,Operating Expenses,Salaries,CC-400,341721.08,317052.98,26773.91,Q4,2023,-24668.100000000035,-7.22,8.44
FIN-000137,2023-07-15,Central,Engineering,COGS,Salaries,CC-100,251411.34,38800.01,368935.46,Q4,2024,-212611.33,-84.57,-750.86
FIN-000138,2022-07-13,South,Finance,Marketing,Materials,CC-200,202286.0,28056.53,404553.24,Q2,2023,-174229.47,-86.13,-1241.92
FIN-000139,2023-01-06,West,R&D,Administrative,Software,CC-200,178341.99,480289.77,61690.43,Q3,2024,301947.78,169.31,12.84
FIN-000140,2024-02-26,West,Finance,Marketing,Travel,CC-500,292913.35,125598.85,377532.25,Q1,2022,-167314.49999999997,-57.12,-100.59
FIN-000141,2024-09-18,Central,Marketing,Interest,Utilities,CC-200,146575.94,10589.73,344617.67,Q3,2023,-135986.21,-92.78,-3054.26
FIN-000142,2024-06-07,South,Marketing,R&D,Salaries,CC-400,410673.86,411120.8,208415.5,Q1,2022,446.9400000000023,0.11,50.69
FIN-000143,2023-09-04,East,HR,R&D,Equipment,CC-300,398866.08,452054.52,415934.54,Q4,2022,53188.44,13.33,92.01
FIN-000144,2022-09-14,North,Marketing,COGS,Salaries,CC-400,325518.79,163175.67,372100.38,Q1,2022,-162343.11999999997,-49.87,-28.04
FIN-000145,2022-07-23,Central,Operations,Interest,Equipment,CC-200,199004.18,458752.3,299866.99,Q2,2024,259748.12,130.52,65.37
FIN-000146,2023-10-29,East,Sales,COGS,Other,CC-300,305063.2,444018.78,398705.37,Q2,2023,138955.58000000002,45.55,89.79
FIN-000147,2022-05-11,South,Sales,Marketing,Salaries,CC-200,314709.72,271840.85,231788.41,Q3,2024,-42868.869999999995,-13.62,85.27
FIN-000148,2023-01-14,South,Operations,COGS,Services,CC-100,341951.33,516684.07,320106.19,Q3,2023,174732.74,51.1,61.95
FIN-000149,2024-04-10,Central,Marketing,Administrative,Other,CC-400,196922.99,465805.96,29879.07,Q1,2024,268882.97000000003,136.54,6.41
FIN-000150,2022-02-10,East,R&D,Operating Expenses,Services,CC-300,214695.16,24012.77,239540.91,Q4,2023,-190682.39,-88.82,-797.56
FIN-000151,2024-03-17,Central,Operations,Depreciation,Salaries,CC-500,456255.97,495677.65,318190.71,Q1,2023,39421.68000000005,8.64,64.19
FIN-000152,2024-12-21,West,Finance,Administrative,Rent,CC-300,64204.72,301321.46,10982.0,Q3,2024,237116.74000000002,369.31,3.64
FIN-000153,2024-09-27,South,Finance,Revenue,Rent,CC-300,74489.49,262026.09,211825.92,Q3,2024,187536.59999999998,251.76,80.84
FIN-000154,2022-05-11,West,Sales,Revenue,Salaries,CC-300,495400.84,526861.41,281964.76,Q1,2023,31460.570000000007,6.35,53.52
FIN-000155,2024-11-28,Central,Customer Support,Marketing,Equipment,CC-500,315441.45,162361.02,198322.78,Q3,2022,-153080.43000000002,-48.53,77.85
FIN-000156,2022-09-12,South,Finance,Depreciation,Equipment,CC-300,234752.28,245872.86,194170.24,Q2,2022,11120.579999999987,4.74,78.97
FIN-000157,2023-03-01,Central,Engineering,Administrative,Other,CC-400,68804.72,107528.03,447660.85,Q2,2023,38723.31,56.28,-216.32
FIN-000158,2022-08-29,North,Finance,Revenue,Services,CC-300,325526.9,480578.04,501835.75,Q3,2022,155051.13999999996,47.63,95.58
FIN-000159,2023-01-06,East,Sales,Marketing,Utilities,CC-200,390046.98,44683.48,58355.83,Q1,2023,-345363.5,-88.54,69.4
FIN-000160,2023-01-04,South,HR,Marketing,Materials,CC-300,270281.54,16435.56,474372.81,Q4,2022,-253845.97999999998,-93.92,-2686.26
FIN-000161,2022-01-11,South,Customer Support,Administrative,Utilities,CC-300,34148.29,90264.77,202524.44,Q1,2022,56116.48,164.33,-24.37
FIN-000162,2024-07-04,West,Marketing,Interest,Services,CC-500,260217.39,351277.5,130536.79,Q1,2022,91060.10999999999,34.99,37.16
FIN-000163,2023-10-06,North,Marketing,Depreciation,Travel,CC-100,84806.45,71667.98,85471.47,Q1,2023,-13138.470000000001,-15.49,80.74
FIN-000164,2022-09-09,West,HR,Operating Expenses,Utilities,CC-500,221911.89,506994.11,390980.64,Q2,2022,285082.22,128.47,77.12
FIN-000165,2022-03-22,East,R&D,R&D,Materials,CC-500,153398.69,375726.74,378715.61,Q2,2023,222328.05,144.93,99.2
FIN-000166,2022-09-21,Central,Engineering,COGS,Salaries,CC-300,74041.34,378124.07,57400.77,Q2,2022,304082.73,410.69,15.18
FIN-000167,2023-02-27,North,Customer Support,Operating Expenses,Services,CC-100,33248.56,535156.91,499296.53,Q1,2023,501908.35000000003,1509.56,93.3
FIN-000168,2022-11-27,West,R&D,R&D,Utilities,CC-500,303431.01,39124.03,46042.81,Q1,2022,-264306.98,-87.11,82.32
FIN-000169,2022-06-29,Central,Engineering,Marketing,Utilities,CC-200,290644.93,361862.23,262932.45,Q1,2022,71217.29999999999,24.5,72.66
FIN-000170,2023-06-10,East,HR,Administrative,Software,CC-100,88225.14,495321.41,338755.85,Q2,2024,407096.26999999996,461.43,68.39
FIN-000171,2022-03-13,East,Finance,Administrative,Software,CC-500,459730.38,342302.54,462876.34,Q4,2024,-117427.84000000003,-25.54,64.78
FIN-000172,2022-06-23,North,R&D,Interest,Other,CC-300,438490.86,257432.29,146763.61,Q2,2023,-181058.56999999998,-41.29,57.01
FIN-000173,2022-09-13,North,Customer Support,Operating Expenses,Software,CC-200,141843.14,20483.67,145720.75,Q3,2023,-121359.47000000002,-85.56,-511.4
FIN-000174,2024-11-02,South,Sales,Marketing,Equipment,CC-100,257044.22,100796.79,408228.53,Q1,2023,-156247.43,-60.79,-205.0
FIN-000175,2023-09-04,East,R&D,Interest,Equipment,CC-200,258224.09,507090.02,219014.42,Q4,2023,248865.93000000002,96.38,43.19
FIN-000176,2024-01-15,South,Customer Support,Revenue,Equipment,CC-400,98308.15,538406.13,114119.28,Q1,2024,440097.98,447.67,21.2
FIN-000177,2022-12-18,Central,Engineering,Administrative,Software,CC-500,203893.25,274820.27,19900.58,Q4,2023,70927.02000000002,34.79,7.24
FIN-000178,2024-05-16,North,Engineering,Marketing,Utilities,CC-300,322491.11,494989.62,390116.24,Q2,2023,172498.51,53.49,78.81
FIN-000179,2022-01-01,South,R&D,Revenue,Equipment,CC-400,255260.92,267270.38,16675.86,Q1,2022,12009.459999999992,4.7,6.24
FIN-000180,2023-05-24,East,HR,Marketing,Services,CC-300,196854.63,94273.14,334796.18,Q1,2023,-102581.49,-52.11,-155.13
FIN-000181,2023-09-08,Central,Operations,Administrative,Rent,CC-500,225011.65,54313.16,228149.45,Q4,2024,-170698.49,-75.86,-220.06
FIN-000182,2022-04-05,North,HR,Marketing,Travel,CC-400,325159.8,459390.72,333214.36,Q2,2023,134230.91999999998,41.28,72.53
FIN-000183,2024-11-29,East,R&D,Administrative,Software,CC-100,461220.52,516355.86,397405.76,Q2,2022,55135.33999999997,11.95,76.96
FIN-000184,2023-08-24,West,Engineering,Administrative,Materials,CC-400,459712.74,230084.01,339942.91,Q2,2022,-229628.72999999998,-49.95,52.25
FIN-000185,2024-12-29,Central,Finance,R&D,Salaries,CC-100,423786.43,76770.92,246980.83,Q3,2023,-347015.51,-81.88,-121.71
FIN-000186,2024-06-30,Central,Operations,Marketing,Travel,CC-100,229966.49,467001.04,472731.09,Q1,2024,237034.55,103.07,98.77
FIN-000187,2022-10-14,West,Marketing,Marketing,Travel,CC-300,495537.86,193930.64,10835.69,Q3,2022,-301607.22,-60.86,5.59
FIN-000188,2024-10-01,North,Marketing,Marketing,Equipment,CC-200,87835.29,272082.98,33387.25,Q4,2022,184247.69,209.76,12.27
FIN-000189,2023-10-03,East,Marketing,Depreciation,Software,CC-200,236337.23,546315.13,257608.64,Q3,2024,309977.9,131.16,47.15
FIN-000190,2024-12-06,Central,Operations,COGS,Salaries,CC-100,274696.93,375485.24,135341.62,Q2,2022,100788.31,36.69,36.04
